RecordNo,endtime,qweek,i1_health,i2_health,i7a_health,i5a_health,i6_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i7b_health,weight,gender,age,region,household_size,household_children,employment_status,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4
0,09/04/2020 10:48,week 1,0,0,0, , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Always,Frequently,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Sometimes,Always,Always,Frequently,Always,20, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"No, I have not","Yes, and they tested negative",No,No,No,No,No,Yes, ,0.950268586,Female,20,Kuala Lumpur,Prefer not to say,0,Full time student, , , , , 
1,09/04/2020 10:49,week 1,0,5,1, , , ,Yes,Neither easy nor difficult,Very willing,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Rarely,Rarely, ,Rarely,Sometimes,Frequently,Always,Always,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,3,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.930940036,Male,29,Selangor,1,0,Full time employment, , , , , 
2,09/04/2020 10:51,week 1,4,3,1, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Rarely,Rarely,Always,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.928043429,Male,56,Perak,5,1,Full time employment, , , , , 
3,09/04/2020 10:55,week 1,8,5,1,No,Frequently,No,Yes,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,9, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"Yes, and I tested negative","Yes, and they tested negative",No,No,No,No,Yes,No,No,0.934468696,Male,19,Kuala Lumpur,4,0,Full time student, , , , , 
4,09/04/2020 10:57,week 1,6,0,2, , , ,Yes,Neither easy nor difficult,Somewhat willing,Frequently,Frequently,Always,Frequently,Not at all,Always,Always,Not at all,Always,Always,Not at all,Always,Always,Always,Frequently,Sometimes,Rarely,Rarely,Frequently,Always,15,No,No,No,No,No,No,No,No,No,No,Yes,No,No,hantar isteri kerja,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.936243358,Male,37,Selangor,7,4,Part time employment, , , , , 
5,09/04/2020 11:01,week 1,2,2,0, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Frequently,Always, ,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Sometimes,Always,10, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.933087329,Female,29,Johor,3,1,Not working, , , , , 
6,09/04/2020 11:15,week 1,5,2,0, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Frequently,Always,Always, ,Sometimes,Always,Always,Always,Always,Sometimes,Always,Rarely,Always,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.917573108,Male,32,Johor,5,0,Part time employment, , , , , 
7,09/04/2020 11:17,week 1,2,3,0, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Not at all,Always,Not at all,Always,Frequently,Always,Always,Always,Always,Always,Not at all,Rarely,Rarely,Sometimes,Always,Always,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.910199663,Male,53,Selangor,3,1,Full time employment, , , , , 
8,09/04/2020 11:18,week 1,2,2,0, , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Not at all,Sometimes,Not at all,Not at all,Not at all, ,Not at all,Always,Always,Always,Always,Sometimes,Rarely,Not at all,Sometimes,Not at all,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.273691705,Female,30,Negeri Sembilan,2,0,Full time employment, , , , , 
9,09/04/2020 11:21,week 1,2,0,1, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always,Sometimes,Sometimes,Sometimes,Always,Not at all,10,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.910199663,Male,51,Selangor,3,1,Full time employment, , , , , 
10,09/04/2020 11:22,week 1,7,7,0, , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Always,Always,Not at all,Always,Not at all,Not at all,Not at all, ,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always,Not at all,8, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.237969745,Male,27,Kedah,7,4,Full time student, , , , , 
11,09/04/2020 11:28,week 1,7,2,1, , , ,Not sure,Very difficult,Very willing,Always,Frequently,Frequently,Always,Not at all,Always,Always,Always,Always, ,Always,Frequently,Always,Always,Always,Always,Always,Rarely,Frequently,Always,10,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.970744526,Male,24,Perak,8 or more,0,Part time employment, , , , , 
12,09/04/2020 11:32,week 1,1,0,0, , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Frequently,Frequently,Frequently,Sometimes,Rarely,Sometimes,Not at all, , ,Frequently,Frequently,Not at all,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.23085419,Female,47,Kedah,2,0,Not working, , , , , 
13,09/04/2020 11:37,week 1,1,1,1, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.013238827,Male,35,Selangor,3,0,Full time employment, , , , , 
14,09/04/2020 11:38,week 1,2,3,0, , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Sometimes,5,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.963205612,Female,22,Johor,3,1,Full time employment, , , , , 
15,09/04/2020 11:40,week 1,5,0,0, , , ,Yes,Very easy,Very willing,Always,Frequently,Sometimes,Always,Not at all,Always,Frequently,Not at all, , ,Not at all,Always,Always,Frequently,Always,Always,Always,Always,Rarely,Rarely,4, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.291722516,Female,20,Kedah,3,0,Full time student, , , , , 
16,09/04/2020 11:42,week 1,0,3,0, , , ,Yes,Somewhat easy,Very willing,Always,Frequently,Always,Always,Always,Always,Always,Always, , ,Frequently,Always,Always,Always,Always,Always,Always,Sometimes,Not at all,Always,4, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.941495526,Male,20,Johor,5,0,Full time student, , , , , 
17,09/04/2020 11:44,week 1,1,2,1, , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Frequently,Frequently,Frequently,Always,Always, ,Always,Sometimes,Sometimes,Always,Always,Frequently,Always,Always,Always,Frequently,Frequently,8, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.935890188,Male,18,Kelantan,6,3,Not working, , , , , 
18,09/04/2020 11:50,week 1,2,3,1, , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,Frequently,Rarely,Frequently,Always,10,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.264843933,Female,29,Sabah,3,1,Full time employment, , , , , 
19,09/04/2020 11:50,week 1,2,0,0, , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Always,Always,Always,Always,Always,Always,Always,Not at all,Sometimes, ,Always,Not at all,Not at all,Not at all,Always,Always,Always,Not at all,Always,Always,10,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.051642597,Female,28,Serawak,3,0,Full time employment, , , , , 
20,09/04/2020 11:52,week 1,0,0,0, , , ,No,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Rarely,Sometimes,Sometimes,Frequently,Always,Always,Rarely,Rarely,Sometimes,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.046651616,Female,24,Pahang,5,0,Other, , , , , 
21,09/04/2020 11:53,week 1,1,0,0, , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Always,Frequently,Always,Always,Frequently,Not at all,Always,Not at all, , ,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Sometimes,Sometimes,Always,Not at all,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.019700137,Female,37,Pahang,2,0,Not working, , , , , 
22,09/04/2020 11:54,week 1,0,50,1, , , ,Yes,Very easy,Very willing,Always,Always,Sometimes,Always,Always,Always,Always,Always,Not at all, ,Always,Always,Always,Always,Always,Sometimes,Always,Always,Frequently,Frequently,10,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.909304524,Female,34,Sabah,1,0,Full time employment, , , , , 
23,09/04/2020 11:54,week 1,5,1,0, , , ,Yes,Somewhat easy,Somewhat willing,Always,Frequently,Frequently,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Frequently,Frequently,Sometimes,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.99020135,Female,22,Melaka,7,1,Full time student, , , , , 
24,09/04/2020 11:56,week 1,9,0,0, , , ,Yes,Very easy,Very willing,Sometimes,Frequently,Frequently,Frequently,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Sometimes,Sometimes,Always,Always,20, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.957414225,Female,23,Johor,8 or more,1,Full time student, , , , , 
25,09/04/2020 11:58,week 1,3,0,0, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Sometimes,Frequently,Always,Always,Always,Not at all, ,Always,Always,Always,Always,Always,Always,Always,Frequently,Rarely,Sometimes,Not at all,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"No, I have not",Not sure,No,No,No,No,No,Yes, ,0.933011369,Female,19,Sabah,4,1,Other, , , , , 
26,09/04/2020 12:03,week 1,0,0,0, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Rarely,Always,Always,Always,Always,Always,Always,Sometimes,Not at all,Frequently,Frequently,Sometimes,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.273691705,Female,29,Negeri Sembilan,2,2,Full time employment, , , , , 
27,09/04/2020 12:12,week 1,6,2,0, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Frequently,Rarely,Frequently,Always,Frequently,9,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not",Not sure,No,No,No,No,No,Yes, ,0.934468696,Male,22,Kuala Lumpur,6,1,Full time employment, , , , , 
28,09/04/2020 12:14,week 1,2,1,0, , , ,Yes,Neither easy nor difficult,Very willing,Always,Frequently,Frequently,Always,Always,Sometimes,Always,Always, , ,Sometimes,Frequently,Always,Always,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.955210948,Male,23,Selangor,2,0,Full time student, , , , , 
29,09/04/2020 12:21,week 1,2,1,0, , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Rarely,Not at all,Not at all,Frequently,Always,4,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No, , , , , , , , , ,1.005455903,Female,24,Terengganu,Prefer not to say,3,Full time employment, , , , , 
30,09/04/2020 12:22,week 1,5,0,0, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,Always,Always,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.957414225,Female,23,Johor,5,1,Full time student, , , , , 
31,09/04/2020 12:24,week 1,4,2,0, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Not at all,Not at all,Not at all,Not at all, ,Not at all,Rarely,Not at all,Not at all,Not at all,Always,Rarely,Always,Sometimes,Frequently,Not at all,20, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not", ,No,No,No,No,No,Yes, ,0.946680264,Female,31,Selangor,6,4,Not working, , , , , 
32,09/04/2020 12:25,week 1,4,1,0, , , ,No,Somewhat easy,Somewhat willing,Always,Always,Always,Frequently,Always,Always,Always,Always, , ,Always,Not at all,Always,Always,Always,Frequently,Always,Always,Sometimes,Always,7, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.95601675,Female,18,Kuala Lumpur,4,0,Full time student, , , , , 
33,09/04/2020 12:26,week 1,2,4,1, , , ,No,Somewhat easy,Neither willing nor unwilling,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Rarely,Frequently,Always,Frequently,Always,3, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","Yes, and they have not received their results from the test yet",No,No,No,No,No,Yes, ,1.072572416,Female,23,Serawak,3,0,Not working, , , , , 
34,09/04/2020 12:27,week 1,1,1,0, , , ,Yes,Very easy,Very willing,Always,Frequently,Frequently,Always,Not at all,Rarely,Not at all,Not at all,Not at all, ,Not at all,Not at all,Not at all,Not at all,Always,Rarely,Not at all,Rarely,Rarely,Not at all,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.962075116,Female,26,Perak,3,0,Full time employment, , , , , 
35,09/04/2020 12:29,week 1,0,5,5, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Not at all,Always,Sometimes, ,Always,Always,Always,Always,Frequently,Always,Always,Always,Rarely,Not at all,24,No,No,No,No,No,No,No,No,No,No,Yes,No,No,restoran,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.040358499,Female,18,Pahang,3,0,Part time employment, , , , , 
36,09/04/2020 12:30,week 1,6,6,0, , , ,No,Very easy,Very willing,Not at all,Always,Always,Not at all,Not at all,Not at all,Not at all,Not at all, ,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Rarely,Not at all,Always,Not at all,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.946680264,Female,34,Selangor,6,4,Not working, , , , , 
37,09/04/2020 12:32,week 1,2,0,0, , , ,No,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Not at all,Not at all,Not at all,Not at all,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always,Always,Frequently,Not at all,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.236664529,Female,47,Sabah,5,5 or more,Part time employment, , , , , 
38,09/04/2020 12:36,week 1,8,1,0, , , ,Not sure,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Not at all,Rarely,Rarely,Rarely, , ,Rarely,Not at all,Rarely,Not at all,Always,Rarely,Not at all,Always,Sometimes,Not at all,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.268568087,Male,24,Sabah,8 or more,0,Not working, , , , , 
39,09/04/2020 12:48,week 1,5,0,0, , , ,No,Very easy,Very willing,Always,Frequently,Frequently,Frequently,Not at all,Frequently,Not at all,Not at all, ,Always,Rarely,Always,Always,Frequently,Always,Sometimes,Not at all,Rarely,Frequently,Rarely,7, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.958076984,Female,47,Terengganu,6,4,Not working, , , , , 
40,09/04/2020 12:50,week 1,6,0,0, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Frequently,Frequently,Always,Frequently,Always,Sometimes,Frequently,Frequently,Always,Always,Always,Always,Always,Frequently,Sometimes,Sometimes,Frequently,Sometimes,10,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.934250599,Female,55,Selangor,7,1,Full time employment, , , , , 
41,09/04/2020 12:52,week 1,0,0,0, , , ,Not sure,Neither easy nor difficult,Somewhat unwilling,Always,Always,Sometimes,Always,Always,Always,Sometimes,Not at all, , ,Not at all,Always,Always,Always,Always,Always,Sometimes,Sometimes,Frequently,Always,4, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.872412549,Female,35,Perlis,4,0,Not working, , , , , 
42,09/04/2020 13:01,week 1,2,0,0, , , ,Not sure,Neither easy nor difficult,Neither willing nor unwilling,Always,Frequently,Sometimes,Sometimes,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,Not at all,Not at all,Sometimes,Frequently,10,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Technician,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.895821053,Male,53,Kuala Lumpur,3,1,Full time employment, , , , , 
43,09/04/2020 13:05,week 1,3,1000,100, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,3,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.933142682,Female,25,Kelantan,4,0,Full time employment, , , , , 
44,09/04/2020 13:07,week 1,1,7,0,No,Always,No,Yes,Somewhat easy,Somewhat willing,Always,Frequently,Frequently,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Always,Frequently,Rarely,Frequently,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,Yes,No,No,No,No,No,0.915912984,Male,39,Kuala Lumpur,2,0,Full time employment, , , , , 
45,09/04/2020 13:08,week 1,1,2,1, , , ,Yes,Somewhat easy,Very willing,Always,Frequently,Frequently,Always,Always,Frequently,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Rarely,Frequently,Sometimes,Frequently,30,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Yes, and I tested negative","Yes, and they tested negative",No,No,No,No,No,Yes, ,0.936571281,Male,34,Selangor,2,0,Full time employment, , , , , 
46,09/04/2020 13:08,week 1,2,1,0, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Frequently,Always,Always,Sometimes,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.930940036,Male,30,Selangor,2,0,Full time employment, , , , , 
47,09/04/2020 13:13,week 1,0,0,1, , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Not at all,Not at all,Rarely,Not at all,Not at all, ,Always,Not at all,Not at all,Not at all,Not at all,Rarely,Not at all,Frequently,Always,Sometimes,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not",Not sure,No,No,No,No,No,Yes, ,1.072256439,Male,30,Penang,Prefer not to say,0,Full time employment, , , , , 
48,09/04/2020 13:15,week 1,1,3,1, , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,Always,Always,Always,Rarely,Sometimes,Rarely,Frequently,Always,12,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.965041368,Female,28,Melaka,4,2,Full time employment, , , , , 
49,09/04/2020 13:15,week 1,2,0,0, , , ,Yes,Neither easy nor difficult,Somewhat unwilling,Not at all,Frequently,Rarely,Frequently,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Sometimes,Always,Frequently,Not at all,Rarely,Sometimes,1,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"No, I have not",Not sure,No,No,No,No,No,Yes, ,1.040048508,Male,40,Serawak,3,0,Full time employment, , , , , 
50,09/04/2020 13:29,week 1,0,100,0, , , ,Yes,Somewhat easy,Very willing,Always,Always,Frequently,Always,Frequently,Rarely,Not at all,Always,Not at all,Not at all,Not at all,Always,Always,Always,Always,Sometimes,Not at all,Not at all,Frequently,Not at all,15,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.051274383,Female,36,Serawak,5,2,Full time employment, , , , , 
51,09/04/2020 14:27,week 1,0,0,0,No,Sometimes,No,No,Very easy,Somewhat willing,Not at all,Always,Not at all,Always,Always,Frequently,Always,Frequently,Always, ,Always,Frequently,Always,Always,Frequently,Sometimes,Always,Always,Sometimes,Always,5,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,1.007499367,Male,26,Selangor,1,0,Full time employment, , , , , 
52,11/04/2020 13:06,week 1,5,5,0, , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Always,Always,Always,Always,Always,Always,Sometimes,Frequently, , ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.938731564,Female,29,Johor,5,0,Not working, , , , , 
53,09/04/2020 14:12,week 1,0,1,3, , , ,Yes,Somewhat easy,Very willing,Always,Always,Frequently,Frequently,Not at all,Always,Not at all,Not at all,Sometimes, ,Not at all,Not at all,Not at all,Not at all,Rarely,Sometimes,Not at all,Rarely,Sometimes,Not at all,20,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Sektor oil & gas,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not",Not sure,No,No,No,No,No,Yes, ,0.963615616,Male,27,Terengganu,1,0,Full time employment, , , , , 
