RecordNo,endtime,qweek,i1_health,i2_health,i7a_health,i5a_health,i6_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i7b_health,weight,gender,age,region,household_size,household_children,employment_status,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4
1830,29/04/2020 08:01,week 2,1,20,0, , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Always,Frequently, ,Always,Frequently,Frequently,Always,Frequently,Frequently,Sometimes,Frequently,Frequently,Sometimes,20,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.892491252,Female,33,Selangor,Prefer not to say,Prefer not to say,Full time employment,5,Several days,Several days,Several days,Not at all
1831,29/04/2020 08:02,week 2,4,10,1, , , ,Yes,Very easy,Very willing,Frequently,Always,Frequently,Sometimes,Always,Not at all,Frequently,Rarely,Frequently,Frequently,Frequently,Rarely,Sometimes,Not at all,Always,Sometimes,Frequently,Always,Always,Sometimes,12,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.928559093,Female,25,Johor,3,2,Full time employment,6,Not at all,Not at all,Not at all,Not at all
1832,29/04/2020 08:02,week 2,1,2,1, , , ,Not sure,Neither easy nor difficult,Somewhat willing,Always,Frequently,Always,Always,Frequently,Always,Always,Always,Always, ,Rarely,Rarely,Rarely,Rarely,Sometimes,Not at all,Not at all,Not at all,Rarely,Always,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.96222327,Female,28,Selangor,2,0,Part time employment,4,Several days,Several days,Not at all,Not at all
1833,29/04/2020 08:05,week 2,2,1,1, , , ,Not sure,Somewhat easy,Somewhat willing,Always,Always,Frequently,Always,Always,Rarely,Not at all,Always, , ,Frequently,Always,Always,Always,Always,Rarely,Frequently,Rarely,Frequently,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not", ,No,No,No,No,No,Yes, ,1.192625837,Male,63,Serawak,Prefer not to say,Prefer not to say,Retired,4,Not at all,Not at all,Not at all,Not at all
1834,29/04/2020 08:05,week 2,3,2,1, , , ,No,Very easy,Very willing,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Rarely,Not at all,Not at all, ,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Rarely,Not at all,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.349498876,Female,44,Melaka,3,0,Full time employment,5,Not at all,Not at all,Not at all,Not at all
1835,29/04/2020 08:07,week 2,11,0,0, , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Always,Always,Always,Always,Not at all,Not at all,Not at all,Not at all, ,Not at all,Not at all,Rarely,Rarely,Always,Always,Not at all,Always,Sometimes,Always,Always,7, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.005590097,Female,23,Selangor,8 or more,2,Full time student,5,More than half the days,Nearly every day,Nearly every day,Nearly every day
1836,29/04/2020 08:07,week 2,3,0,0, , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Frequently,Frequently,Always,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.165965227,Male,36,Kuala Lumpur,5,1,Full time employment,5,Not at all,Several days,Several days,Not at all
1837,29/04/2020 08:09,week 2,5,5,1, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,6,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","Yes, and they tested negative",No,No,No,No,No,Yes, ,0.900921697,Female,32,Kelantan,5,0,Part time employment,7,Several days,More than half the days,More than half the days,Not at all
1838,29/04/2020 08:11,week 2,2,0,1, , , ,Not sure,Somewhat easy,Somewhat willing,Always,Always,Always,Sometimes,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Sometimes,Frequently,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.953440455,Female,38,Selangor,4,1,Full time employment,5,Nearly every day,Nearly every day,Nearly every day,Nearly every day
1839,29/04/2020 08:14,week 2,0,0,0, , , ,Yes,Very easy,Very willing,Always,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Sometimes,Always,Frequently,Always,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.96222327,Female,25,Selangor,8 or more,2,Full time employment,5,Several days,Not at all,Not at all,Not at all
