RecordNo,endtime,qweek,i1_health,i2_health,i7a_health,i5a_health,i6_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i7b_health,weight,gender,age,region,household_size,household_children,employment_status,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4
1325,28/04/2020 02:59,week 2,3,5,1,No,Not at all,No,Not sure,Very difficult,Somewhat willing,Always,Always,Sometimes,Frequently,Always,Always,Always,Sometimes, , ,Always,Frequently,Always,Always,Frequently,Frequently,Not at all,Not at all,Not at all,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,0.861777943,Female,21,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),4,0,Full time student,2,More than half the days,Nearly every day,Nearly every day,Several days
1326,28/04/2020 02:59,week 2,3,3,1,No,Always,No,No,Very easy,Very willing,Always,Always,Frequently,Always,Always,Always,Always,Always, ,Always,Frequently,Always,Always,Always,Always,Always,Always,Frequently,Sometimes,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,Yes,No,No,0.998791674,Female,24,Central Region,5,1,Unemployed,4,Several days,Several days,Several days,Several days
1327,28/04/2020 02:59,week 2,1,3,0, , , ,No,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Frequently, , ,Frequently,Frequently,Always,Always,Always,Frequently,Frequently,Always,Frequently,Always,30, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not",Not sure,No,No,No,No,No,Yes, ,1.084382503,Male,21,Northern Region,4,0,Full time student,5,Not at all,Not at all,Prefer not to say,Not at all
1328,28/04/2020 03:00,week 2,0,0,0,No,Always,No,Yes,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Always,Always,Rarely,Frequently,Always,Always,Rarely,Not at all,Not at all,Not at all,Always,Frequently,Always,Always,Frequently,Frequently,20,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,Yes,No,No,No,0.966503075,Male,47,Northeastern Region,7,2,Part time employment,7,More than half the days,Not at all,Not at all,Not at all
1329,28/04/2020 03:00,week 2,5,2,0,No,Always,No,Not sure,Neither easy nor difficult,Somewhat willing,Always,Frequently,Frequently,Always,Always,Always,Always,Always, , ,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Sometimes,Frequently,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,Yes,No,No,0.949836242,Female,20,Central Region,6,0,Full time student,6,Several days,Not at all,Several days,More than half the days
1330,28/04/2020 03:00,week 2,2,5,0, , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Sometimes,Always,Always,Always,Always,Sometimes,Always,Sometimes,Always,Always,25, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I tested negative","Yes, and they tested negative",No,No,No,No,No,Yes, ,0.896634401,Female,21,Northeastern Region,5,0,Unemployed,5,Several days,Several days,Several days,Not at all
1331,28/04/2020 03:01,week 2,3,6,0, , , ,Yes,Very easy,Very willing,Always,Always,Frequently,Always,Frequently,Frequently,Frequently,Sometimes, ,Frequently,Sometimes,Sometimes,Frequently,Always,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Always,20, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.896634401,Female,20,Northeastern Region,3,1,Full time student,6,Several days,Several days,Several days,Not at all
1332,28/04/2020 03:01,week 2,0,0,1,Yes,Sometimes,No,No,Very easy,Somewhat willing,Always,Frequently,Frequently,Always,Always,Frequently,Frequently,Frequently,Frequently, ,Always,Frequently,Frequently,Frequently,Always,Sometimes,Frequently,Frequently,Frequently,Always,4,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,__NA__,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,"Yes, and I tested negative","Yes, and they have not received their results from the test yet",No,No,Yes,No,Yes,No,Yes,0.893596783,Male,33,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),4,0,Full time employment,7,More than half the days,More than half the days,More than half the days,More than half the days
1333,28/04/2020 03:01,week 2,2,4,2, , , ,Not sure,Neither easy nor difficult,Somewhat willing,Always,Always,Sometimes,Always,Frequently,Sometimes,Sometimes,Always, ,Always,Always,Frequently,Always,Always,Frequently,Sometimes,Always,Rarely,Sometimes,Frequently,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not", ,No,No,No,No,No,Yes, ,0.871431065,Female,20,Northern Region,6,2,Unemployed,5,More than half the days,Several days,Not at all,Not at all
1334,28/04/2020 03:01,week 2,1,0,0, , , ,No,Neither easy nor difficult,Somewhat willing,Frequently,Frequently,Frequently,Frequently,Always,Always,Always,Rarely, , ,Frequently,Sometimes,Frequently,Always,Always,Frequently,Not at all,Rarely,Sometimes,Frequently,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.970336798,Female,19,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),4,0,Full time student,4,Not at all,Nearly every day,More than half the days,Not at all
