RecordNo,endtime,qweek,i1_health,i2_health,i7a_health,i5a_health,i6_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i7b_health,weight,gender,age,region,household_size,household_children,employment_status,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4
0,09/04/2020 11:32,week 1,2,0,0, , , ,No,Neither easy nor difficult,Somewhat willing,Always,Always,Frequently,Always,Always,Frequently,Always,Always,Rarely,Always,Frequently,Always,Always,Always,Always,Frequently,Not at all,Not at all,Frequently,Frequently,4,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.196934133,Male,32,Central Region,3,1,Full time employment, , , , , 
1,09/04/2020 11:38,week 1,2,2,0, , , ,Yes,Very easy,Very willing,Always,Frequently,Frequently,Always,Always,Frequently,Always,Always,Always, ,Always,Frequently,Frequently,Frequently,Always,Sometimes,Always,Always,Always,Always,4,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.900951378,Female,33,Northeastern Region,5,0,Full time employment, , , , , 
2,09/04/2020 11:41,week 1,2,2,0, , , ,No,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Always,Always,Sometimes, ,Always,Always,Frequently,Frequently,Always,Always,Sometimes,Always,Always,Always,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I tested negative","No, they have not",No,No,No,No,No,Yes, ,0.95042946,Male,26,Northeastern Region,2,1,Unemployed, , , , , 
3,09/04/2020 11:45,week 1,10,2,1, , , ,No,Somewhat difficult,Somewhat willing,Always,Rarely,Always,Always,Sometimes,Sometimes,Frequently,Frequently,Always, ,Always,Always,Frequently,Always,Frequently,Rarely,Always,Always,Sometimes,Frequently,2,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,__NA__,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.035191405,Male,23,Southern Region,4,0,Part time employment, , , , , 
4,09/04/2020 11:53,week 1,1,5,3, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Frequently,Always,Always,Not at all,Always,Always, ,Frequently,Frequently,Rarely,Rarely,Not at all,Sometimes,Not at all,Not at all,Rarely,Sometimes,Frequently,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.88857351,Female,37,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),4,2,Other, , , , , 
5,09/04/2020 11:55,week 1,0,0,0, , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Frequently,Always,Always,Always,Always,Always,Always, ,Frequently,Frequently,Always,Always,Always,Always,Frequently,Always,Frequently,Always,Always,15, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I tested negative","Yes, and they tested negative",No,No,No,No,No,Yes, ,1.017386906,Male,33,Northern Region,4,1,Other, , , , , 
6,09/04/2020 11:55,week 1,2,3,2, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Frequently,Always,Always,Always,Always,Frequently,Always,Frequently,Always,Frequently,10,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I tested positive",Not sure,No,No,No,No,No,Yes, ,0.878607599,Female,19,Northern Region,5,3,Full time employment, , , , , 
7,09/04/2020 11:57,week 1,0,3,2, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Always,Frequently, ,Always,Frequently,Frequently,Always,Always,Frequently,Always,Always,Frequently,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.960760483,Female,40,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),1,0,Full time employment, , , , , 
8,09/04/2020 12:01,week 1,4,4,0, , , ,Not sure,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Always,Frequently,Sometimes,Always, ,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,4, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I tested positive","Yes, and they tested positive",No,No,No,No,No,Yes, ,1.05017912,Female,22,Central Region,4,1,Full time student, , , , , 
9,09/04/2020 12:03,week 1,2,3,2, , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I have not received my results from the test yet","Yes, and they have not received their results from the test yet",No,No,No,No,No,Yes, ,0.887463439,Female,18,Northeastern Region,4,2,Full time student, , , , , 
10,09/04/2020 12:04,week 1,0,1,1,No,Always,No,No,Very easy,Very willing,Always,Always,Frequently,Frequently,Always,Always,Always,Always, ,Always,Sometimes,Sometimes,Always,Always,Always,Rarely,Always,Frequently,Frequently,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I have not received my results from the test yet","Yes, and they have not received their results from the test yet",Yes,No,No,No,No,No,No,0.879093923,Female,18,Northeastern Region,4,2,Full time student, , , , , 
11,09/04/2020 12:05,week 1,2,0,0, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Frequently,Always,Always,Always,Always,Sometimes,Always,Always,Always,Always,30,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I have not received my results from the test yet","Yes, and they have not received their results from the test yet",No,No,No,No,No,Yes, ,0.879093923,Female,20,Northeastern Region,5,1,Full time employment, , , , , 
12,09/04/2020 12:08,week 1,2,2,1, , , ,No,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Always,Frequently,Rarely,Rarely,Always,Frequently,Frequently,Frequently,Frequently,Always,Sometimes,Always,Sometimes,Always,Rarely,7,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"Yes, and I tested positive","Yes, and they tested positive",No,No,No,No,No,Yes, ,0.887463439,Female,19,Northeastern Region,5,5 or more,Part time employment, , , , , 
13,09/04/2020 12:08,week 1,2,0,1, , , ,No,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,10,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.238830809,Female,27,Central Region,3,1,Full time employment, , , , , 
14,09/04/2020 12:12,week 1,2,0,0,No,Always,No,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,5, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not",Not sure,No,Yes,No,No,No,No,No,1.294064351,Male,18,Central Region,3,1,Full time student, , , , , 
15,09/04/2020 12:13,week 1,2,0,0, , , ,No,Very easy,Very willing,Not at all,Always,Always,Always,Always,Always,Not at all,Not at all, , ,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I have not received my results from the test yet","Yes, and they tested negative",No,No,No,No,No,Yes, ,0.97349131,Male,18,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),4,0,Full time student, , , , , 
16,09/04/2020 12:15,week 1,1,2,1, , , ,Not sure,Somewhat difficult,Very willing,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes, ,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,5,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I have not received my results from the test yet","Yes, and they tested negative",No,No,No,No,No,Yes, ,1.208672841,Male,32,Central Region,5,0,Full time employment, , , , , 
17,09/04/2020 12:17,week 1,0,0,0,No,Always,No,Yes,Very easy,Very willing,Always,Frequently,Frequently,Sometimes,Always,Frequently,Always,Always, ,Always,Always,Frequently,Frequently,Always,Always,Always,Not at all,Not at all,Always,Frequently,12, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,0.870321601,Female,24,Northern Region,3,1,Unemployed, , , , , 
18,09/04/2020 12:18,week 1,2,10,1, , , ,Yes,Somewhat easy,Very willing,Always,Frequently,Always,Always,Always,Sometimes,Always,Always,Sometimes, ,Always,Sometimes,Sometimes,Always,Always,Sometimes,Always,Rarely,Sometimes,Sometimes,8,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.017975589,Female,27,Northern Region,3,0,Full time employment, , , , , 
19,09/04/2020 12:18,week 1,1,5,2,No,Always,No,Yes,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Frequently,Always,Always,Always,Frequently,Frequently,Always,Frequently,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,Yes,No,No,No,No,No,1.094740894,Male,27,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),2,1,Full time employment, , , , , 
20,09/04/2020 12:18,week 1,2,2,1, , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Sometimes,Sometimes,Always,Sometimes,Always,Always,Sometimes,Always,Always,Always,Always,Sometimes,Always,Sometimes,Always,Always,8,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I have not received my results from the test yet","Yes, and they have not received their results from the test yet",No,No,No,No,No,Yes, ,1.013523137,Male,44,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),4,1,Part time employment, , , , , 
21,09/04/2020 12:19,week 1,2,0,1, , , ,Yes,Somewhat easy,Somewhat willing,Always,Frequently,Frequently,Always,Always,Frequently,Always,Always, , ,Always,Sometimes,Always,Always,Always,Sometimes,Always,Always,Rarely,Frequently,5, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.914473883,Male,20,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),3,0,Full time student, , , , , 
22,09/04/2020 12:19,week 1,2,0,0, , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.965506944,Male,40,Northeastern Region,3,1,Part time employment, , , , , 
23,09/04/2020 12:19,week 1,2,5,2,No,Rarely,Not sure,No,Somewhat easy,Very willing,Rarely,Always,Always,Always,Sometimes,Frequently,Rarely,Always,Not at all,Always,Frequently,Rarely,Rarely,Rarely,Frequently,Frequently,Always,Frequently,Frequently,Frequently,100,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Part time,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I have not received my results from the test yet","Yes, and they have not received their results from the test yet",No,Yes,No,No,No,No,No,0.922812659,Female,19,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),3,1,Part time employment, , , , , 
24,09/04/2020 12:23,week 1,2,2,2,No,Frequently,No,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Frequently,Always, ,Always,Frequently,Frequently,Frequently,Always,Always,Always,Always,Always,Always,3,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,Yes,No,No,1.156659211,Female,27,Central Region,4,0,Part time employment, , , , , 
25,09/04/2020 12:24,week 1,10,0,3, , , ,Yes,Somewhat easy,Very willing,Always,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Always,Sometimes,Always,Frequently,Always,Always,Always,Frequently,Frequently,Always,Sometimes,Frequently,Frequently,12,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.227847063,Male,43,Central Region,4,1,Full time employment, , , , , 
26,09/04/2020 12:25,week 1,2,5,2, , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Frequently,Sometimes,Frequently,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.979821169,Male,37,Northeastern Region,3,1,Full time employment, , , , , 
27,09/04/2020 12:25,week 1,2,2,3, , , ,No,Very easy,Somewhat willing,Always,Always,Always,Always,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Sometimes,Always,Sometimes,Always,Sometimes,3,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,__NA__,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.078747805,Male,32,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),8 or more,3,Part time employment, , , , , 
28,09/04/2020 12:28,week 1,0,7,2, , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Sometimes,Frequently,Always,Always,Sometimes,Not at all,Not at all,Sometimes,Frequently,3,No,No,No,No,No,No,No,No,No,No,Yes,No,No,?????????????,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.037750152,Female,26,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),1,1,Full time employment, , , , , 
29,09/04/2020 12:31,week 1,3,4,1, , , ,Not sure,Very easy,Very willing,Always,Frequently,Rarely,Frequently,Always,Always,Sometimes,Always, ,Always,Sometimes,Frequently,Always,Always,Always,Rarely,Always,Sometimes,Not at all,Frequently,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","Yes, and they tested negative",No,No,No,No,No,Yes, ,0.926858615,Male,19,Northern Region,5,1,Full time student, , , , , 
30,09/04/2020 12:33,week 1,2,0,0, , , ,No,Somewhat difficult,Somewhat unwilling,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,5,No,Yes,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I tested negative","No, they have not",No,No,No,No,No,Yes, ,0.98300834,Female,43,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),3,1,Full time employment, , , , , 
31,09/04/2020 12:35,week 1,1,2,3, , , ,Yes,Somewhat easy,Somewhat willing,Frequently,Frequently,Frequently,Frequently,Frequently,Rarely,Sometimes,Sometimes, , ,Rarely,Frequently,Frequently,Frequently,Sometimes,Sometimes,Not at all,Not at all,Not at all,Sometimes,3, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.919544534,Female,38,Northern Region,2,0,Full time student, , , , , 
32,09/04/2020 12:35,week 1,1,2,2, , , ,Not sure,Very easy,Very willing,Frequently,Frequently,Sometimes,Frequently,Sometimes,Frequently,Sometimes,Sometimes,Frequently, ,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes, , , , , , , , , ,1.078747805,Male,27,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),4,Prefer not to say,Full time employment, , , , , 
33,09/04/2020 12:43,week 1,2,0,1, , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Not at all,Always,Not at all,Always,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,10,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.163926992,Female,42,Central Region,3,1,Full time employment, , , , , 
34,09/04/2020 12:44,week 1,1,3,1, , , ,Yes,Very easy,Very willing,Always,Frequently,Frequently,Always,Always,Frequently,Always,Always,Always,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Frequently,5,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.045430863,Male,30,Southern Region,2,1,Full time employment, , , , , 
35,09/04/2020 13:00,week 1,0,0,0,No,Always,No,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Frequently,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I tested negative","Yes, and they tested negative",No,Yes,No,No,No,No,Yes,0.975004338,Female,40,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),7,3,Full time employment, , , , , 
36,09/04/2020 13:10,week 1,2,2,2, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,12,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.975004338,Female,38,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),2,0,Full time employment, , , , , 
37,09/04/2020 13:16,week 1,2,2,2, , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Always,Sometimes,Always,Always,Sometimes,Always,Always,Frequently,Frequently,Always,Frequently,Sometimes,Always,Not at all,Always,Frequently,7,No,No,No,No,No,No,No,No,No,No,Yes,No,No,???????,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.919544534,Female,39,Northern Region,3,1,Full time employment, , , , , 
38,09/04/2020 13:26,week 1,1,1,2, , , ,Yes,Very easy,Very willing,Always,Always,Frequently,Always,Always,Frequently,Always,Always,Not at all,Always,Frequently,Rarely,Rarely,Always,Sometimes,Frequently,Always,Always,Frequently,Frequently,10,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not",Not sure,No,No,No,No,No,Yes, ,1.078747805,Male,26,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),3,1,Full time employment, , , , , 
39,09/04/2020 13:30,week 1,2,50,1,Not sure,Always,No,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Frequently,Frequently,Frequently,Always,Sometimes, ,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Always,Sometimes,Frequently,Frequently,10,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"No, I have not","No, they have not",Yes,Yes,No,No,Yes,No,Yes,1.005699415,Female,30,Southern Region,3,0,Full time employment, , , , , 
40,09/04/2020 13:43,week 1,1,1,2, , , ,No,Somewhat easy,Very willing,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,10,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.005916815,Male,47,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),3,2,Full time employment, , , , , 
41,09/04/2020 13:21,week 1,3,20,1, , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Frequently,Always,Always,Always,Frequently,Always, , ,Rarely,Frequently,Frequently,Always,Always,Sometimes,Always,Sometimes,Rarely,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.964423109,Female,27,Northern Region,3,0,Unemployed, , , , , 
42,09/04/2020 14:08,week 1,6,5,8, , , ,Not sure,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,6,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not",Not sure,No,No,No,No,No,Yes, ,0.879093923,Female,21,Northeastern Region,5,3,Part time employment, , , , , 
43,09/04/2020 14:14,week 1,2,2,2,Yes,Always,Yes,Not sure,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Sometimes,Always,Always,Always,Always,1,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"Yes, and I tested positive","Yes, and they tested negative",No,No,No,No,Yes,No,Yes,0.966882161,Male,31,Southern Region,1,1,Full time employment, , , , , 
44,09/04/2020 14:15,week 1,3,4,2, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Frequently,Always,Frequently, ,Always,Frequently,Frequently,Always,Always,Frequently,Frequently,Sometimes,Always,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I have not received my results from the test yet","No, they have not",No,No,No,No,No,Yes, ,0.91811757,Male,24,Northern Region,4,0,Full time employment, , , , , 
45,09/04/2020 14:16,week 1,2,6,1, , , ,Not sure,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,2,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I tested positive","Yes, and they tested positive",No,No,No,No,No,Yes, ,1.003290737,Female,23,Northeastern Region,6,1,Full time employment, , , , , 
46,09/04/2020 14:16,week 1,2,1,2,Yes,Always,Yes,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,__NA__,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Yes, and I tested positive","Yes, and they tested positive",Yes,Yes,Yes,Yes,Yes,No,Yes,0.914364504,Male,49,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),4,1,Full time employment, , , , , 
47,09/04/2020 14:23,week 1,2,2,1, , , ,No,Very easy,Somewhat willing,Always,Always,Always,Always,Always,Always,Sometimes,Not at all, ,Always,Not at all,Sometimes,Not at all,Not at all,Always,Rarely,Always,Always,Frequently,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I tested positive","Yes, and they tested positive",No,No,No,No,No,Yes, ,0.966882161,Male,25,Southern Region,5,1,Full time student, , , , , 
48,09/04/2020 14:24,week 1,0,5,1, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Sometimes,Always,Always, ,Always,Always,Frequently,Always,Always,Always,Sometimes,Always,Always,Sometimes,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.931598405,Female,23,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),8 or more,3,Other, , , , , 
49,09/04/2020 14:37,week 1,2,1,1, , , ,Not sure,Somewhat easy,Very willing,Always,Frequently,Frequently,Always,Always,Sometimes,Sometimes,Frequently, , ,Sometimes,Not at all,Frequently,Frequently,Sometimes,Rarely,Always,Sometimes,Sometimes,Not at all,14, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes, , ,No,No,No,No,No,Yes, ,1.135592475,Male,38,Central Region,3,0,Unemployed, , , , , 
50,09/04/2020 14:38,week 1,1,5,1, , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Frequently,Always,Always,Sometimes,Not at all,Sometimes,Sometimes, ,Sometimes,Frequently,Frequently,Always,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Always,5,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.022589641,Female,34,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),5,0,Part time employment, , , , , 
