RecordNo,endtime,qweek,gender,age,region,household_size,household_children,employment_status_1,employment_status_2,employment_status_3,employment_status_4,employment_status_5,employment_status_6,employment_status_7,i1_health,i2_health,i7a_health,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i5a_health,i6_health,i7b_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,weight
168,2020-04-09 16:05:42,week 1,Female,33,Rest Østland,1,0,No,Yes,No,No,No,No,No,0,2,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Sometimes,Always,Always,Frequently,Sometimes,Always,Always, ,Frequently,Frequently,Sometimes,Always,Frequently,Frequently,Not at all,Sometimes,Sometimes,Frequently,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,.941852506875
169,2020-04-09 16:07:25,week 1,Female,60,Oslo/Akershus,1,0,No,No,No,Yes,No,No,No,0,3,1, , ,No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Very willing,Not at all,Frequently,Sometimes,Always,Always,Not at all,Always,Always, , ,Not at all,Frequently,Always,Always,Always,Sometimes,Not at all,Not at all,Not at all,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1.03565157983
170,2020-04-09 16:08:45,week 1,Female,67,Sørlandet,2,0,No,Yes,No,No,No,No,No,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Rarely,Not at all,Always,Always,Rarely, ,Always,Always,Always,Always,Always,Sometimes,Always,Rarely,Always,Sometimes,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,1.00241095017
171,2020-04-09 16:11:30,week 1,Female,65,Vestlandet,5,0,No,No,No,No,No,Yes,No,4,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Not at all,Frequently,Always,Always,Not at all,Always, , ,Frequently,Always,Always,Always,Always,Always,Not at all,Not at all,Not at all,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.994239542654
172,2020-04-09 16:18:18,week 1,Female,60,Vestlandet,2,0,No,Yes,No,No,No,No,No,2,1,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Very willing,Not at all,Always,Sometimes,Always,Always,Sometimes,Always,Frequently,Always, ,Always,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Rarely,Not at all,Sometimes,Rarely,15,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.994239542654
173,2020-04-09 16:22:32,week 1,Male,41,Sørlandet,3,1,Yes,No,No,No,No,No,No,2,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Rarely,Sometimes,Not at all,Always,Not at all,Not at all,Not at all,Always,Always,Always,Always,Always,Always,Rarely,Rarely,Not at all,Not at all,Not at all,Frequently,3,No,No,No,No,No,No,No,No,No,No,Yes,No,No,kommunal kriseledelse,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.994469172076
174,2020-04-09 16:23:51,week 1,Female,41,Oslo/Akershus,1,0,Yes,No,No,No,No,No,No,0,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Frequently,Frequently,Always,Rarely,Not at all,Frequently,Always, ,Always,Frequently,Always,Always,Frequently,Frequently,Not at all,Always,Sometimes,Frequently,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.991447316583
175,2020-04-09 16:24:05,week 1,Male,26,Sørlandet,1,0,Yes,No,No,No,No,No,No,2,3,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Always,Sometimes,Always,Frequently,Sometimes,Always,Always,Always, ,Always,Rarely,Frequently,Always,Frequently,Sometimes,Rarely,Sometimes,Sometimes,Frequently,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.25300651256
176,2020-04-09 16:25:33,week 1,Female,61,Oslo/Akershus,1,0,No,Yes,No,No,No,No,No,1,15,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Frequently,Always,Always,Always, ,Always,Frequently,Frequently,Always,Always,Frequently,Always,Frequently,Always,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.949635966814
177,2020-04-09 16:27:10,week 1,Male,66,Sørlandet,2,0,No,No,No,Yes,No,No,No,1,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Frequently,Always,Frequently,Always,Always, , ,Always,Always,Always,Always,Frequently,Sometimes,Not at all,Not at all,Frequently,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,.976120096696
178,2020-04-09 16:27:51,week 1,Female,61,Rest Østland,1,0,No,No,No,Yes,No,No,No,0,2,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Somewhat willing,Not at all,Always,Sometimes,Always,Frequently,Frequently,Always,Sometimes, , ,Always,Frequently,Always,Frequently,Frequently,Frequently,Not at all,Rarely,Frequently,Frequently,9, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,1.03565157983
179,2020-04-09 16:04:42,week 1,Male,55,Rest Østland,1,0,No,No,No,Yes,No,No,No,0,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Frequently,Always,Always,Frequently,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Frequently,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,.940057057321
180,2020-04-09 16:29:21,week 1,Female,53,Oslo/Akershus,1,0,No,No,No,Yes,No,No,No,0,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Frequently,Always,Always,Always,Always,Always, , ,Frequently,Always,Always,Always,Frequently,Frequently,Not at all,Always,Frequently,Sometimes,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,.991107480083
181,2020-04-09 16:30:20,week 1,Male,83,Vestlandet,2,0,No,No,No,Yes,No,No,No,1,3,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Frequently,Sometimes,Frequently,Not at all,Sometimes,Rarely,Always, , ,Not at all,Frequently,Always,Always,Sometimes,Rarely,Not at all,Rarely,Rarely,Rarely,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,.958838871214
182,2020-04-09 16:31:51,week 1,Female,46,Oslo/Akershus,6,3,No,Yes,No,No,No,No,No,5,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Frequently,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Sometimes,Not at all,Not at all,Sometimes,Frequently,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.991447316583
183,2020-04-09 16:37:01,week 1,Male,78,Rest Østland,2,0,No,No,No,Yes,No,No,No,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Always,Not at all,Always, , ,Not at all,Always,Always,Always,Always,Not at all,Not at all,Not at all,Always,Not at all,15, , , , , , , , , , , , , ,__NA__,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,.983900012451
184,2020-04-09 16:37:05,week 1,Male,75,Oslo/Akershus,2,0,No,No,No,Yes,No,No,No,1,4,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Frequently,Rarely,Frequently,Always,Rarely,Always,Frequently, , ,Sometimes,Sometimes,Frequently,Always,Always,Sometimes,Not at all,Rarely,Rarely,Rarely,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.983900012451
185,2020-04-09 16:42:55,week 1,Male,41,Vestlandet,2,2,Yes,No,No,No,No,No,No,3,1,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Somewhat easy,Somewhat willing,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,4,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,1.00659932607
186,2020-04-09 16:45:42,week 1,Male,41,Oslo/Akershus,1,0,No,No,No,No,No,Yes,No,0,0,0,"No, I have not","No, they have not",Yes,Yes,Yes,Yes,Yes,No,No,Always,No,No,Yes,Very easy,Very willing,Always,Frequently,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,5, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,.931749308791
187,2020-04-09 16:49:14,week 1,Female,62,Vestlandet,1,0,Yes,No,No,No,No,No,No,1,2,4,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Very willing,Not at all,Always,Always,Always,Always,Not at all,Not at all,Sometimes,Not at all, ,Frequently,Sometimes,Frequently,Frequently,Always,Sometimes,Rarely,Rarely,Always,Always,15,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Har 2 jobber. sjåfør på dagtid. kiosk på kveldstid,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.994239542654
188,2020-04-09 16:50:19,week 1,Male,39,Oslo/Akershus,4,2,Yes,No,No,No,No,No,No,3,100,2,"No, I have not","No, they have not",Yes,No,No,No,No,No,Not sure,Not at all,No,Yes,Yes,Very easy,Very willing,Rarely,Always,Always,Always,Always,Sometimes,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Always,Frequently,Frequently,Not at all,Not at all,Sometimes,Frequently,7,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,1.15182517184
189,2020-04-09 16:50:22,week 1,Female,55,Vestlandet,3,1,No,Yes,No,No,No,No,No,4,100,1,"No, I have not","No, they have not",Yes,No,No,No,Yes,No,Not sure,Frequently,Yes,No,Yes,Somewhat difficult,Very willing,Not at all,Always,Frequently,Always,Always,Frequently,Sometimes,Always,Always,Always,Rarely,Frequently,Frequently,Always,Always,Sometimes,Sometimes,Not at all,Frequently,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.961067400436
190,2020-04-09 16:55:46,week 1,Female,37,Oslo/Akershus,1,0,Yes,No,No,No,No,No,No,0,4,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all, ,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Sometimes,2,No,No,No,No,No,No,No,No,No,No,Yes,No,No,offentlig administrasjon,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.941852506875
191,2020-04-09 17:23:34,week 1,Female,37,Sørlandet,2,0,Yes,No,No,No,No,No,No,1,0,1,"No, I have not","No, they have not",No,Yes,No,No,No,No,Yes,Always,No,No,Yes,Somewhat easy,Very willing,Not at all,Frequently,Frequently,Always,Always,Frequently,Always,Always,Always, ,Always,Always,Always,Always,Always,Rarely,Not at all,Not at all,Not at all,Always,15,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Datasystem web,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.944491202827
192,2020-04-10 12:35:20,week 1,Female,23,Oslo/Akershus,1,0,No,No,Yes,No,No,No,No,0,7,2,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,Always,No,No,Not sure,Very easy,Neither willing nor unwilling,Not at all,Always,Not at all,Not at all,Not at all,Not at all,Always,Not at all, , ,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.11828163285
193,2020-04-09 16:58:28,week 1,Female,51,Vestlandet,2,0,No,No,No,No,No,Yes,No,1,12,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Frequently,Always,Sometimes,Not at all,Always,Always, , ,Rarely,Not at all,Sometimes,Always,Frequently,Sometimes,Not at all,Not at all,Rarely,Frequently,10, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,.961067400436
194,2020-04-09 17:05:40,week 1,Female,51,Oslo/Akershus,2,0,Yes,No,No,No,No,No,No,1,2,3,"No, I have not","Yes, and they tested negative",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Not at all,Always,Always,Always, ,Rarely,Always,Always,Always,Always,Rarely,Not at all,Not at all,Always,Always,25,No,No,No,No,No,No,No,No,No,No,Yes,No,No,barnehage,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.991107480083
195,2020-04-09 17:08:42,week 1,Male,70,Sørlandet,2,0,No,No,No,Yes,No,No,No,2,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Frequently,Always,Always,Sometimes,Always,Always, , ,Sometimes,Always,Always,Always,Always,Sometimes,Not at all,Not at all,Frequently,Always,25, , , , , , , , , , , , , ,__NA__,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,.976120096696
196,2020-04-09 17:08:48,week 1,Female,52,Rest Østland,2,0,No,No,No,No,No,Yes,No,1,1,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Frequently,Always,Always,Sometimes,Always,Always, , ,Always,Sometimes,Frequently,Frequently,Sometimes,Rarely,Not at all,Not at all,Sometimes,Always,25, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,.972273040412
197,2020-04-09 17:10:17,week 1,Female,33,Vestlandet,4,2,No,Yes,No,No,No,No,No,3,10,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Always,Always,Always,Always,Rarely,Always,Not at all,Always,Always,Frequently,Frequently,Always,Always,Rarely,Not at all,Not at all,Sometimes,Sometimes,20,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.944899708198
198,2020-04-09 17:11:35,week 1,Female,63,Sørlandet,1,0,No,Yes,No,No,No,No,No,0,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Frequently,Always,Always,Always, ,Always,Always,Always,Always,Always,Sometimes,Not at all,Always,Always,Sometimes,20,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,1.00241095017
199,2020-04-09 17:12:01,week 1,Female,27,Vestlandet,2,0,No,No,No,No,Yes,No,No,1,0,1,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,Always,No,No,Yes,Very easy,Very willing,Not at all,Always,Frequently,Always,Always,Frequently,Always,Always, , ,Always,Always,Always,Always,Always,Sometimes,Not at all,Sometimes,Sometimes,Frequently,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.98585496564
200,2020-04-09 17:17:57,week 1,Male,62,Vestlandet,2,0,No,No,No,Yes,No,No,No,1,1,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Always,Rarely,Frequently, , ,Not at all,Always,Always,Always,Frequently,Sometimes,Not at all,Rarely,Always,Frequently,10, , , , , , , , , , , , , ,__NA__,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,.958838871214
201,2020-04-09 17:19:22,week 1,Male,34,Trøndelag/Nord-Norge,1,0,No,Yes,No,No,No,No,No,0,5,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Somewhat difficult,Neither willing nor unwilling,Not at all,Frequently,Frequently,Frequently,Frequently,Not at all,Always,Always,Sometimes, ,Not at all,Not at all,Not at all,Frequently,Rarely,Not at all,Not at all,Not at all,Not at all,Not at all,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,.940154986887
202,2020-04-09 17:20:17,week 1,Female,39,Vestlandet,3,1,No,Yes,No,No,No,No,No,2,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Rarely,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Always,Frequently,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,.944899708198
203,2020-04-09 17:32:04,week 1,Male,53,Vestlandet,3,0,Yes,No,No,No,No,No,No,2,2,0,"Yes, and I tested negative","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Rarely,Always,Sometimes,Sometimes,Always,Always,Always, ,Always,Frequently,Always,Always,Always,Sometimes,Not at all,Not at all,Not at all,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,.941374316421
204,2020-04-09 17:32:15,week 1,Male,30,Trøndelag/Nord-Norge,3,1,Yes,No,No,No,No,No,No,2,5,4,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Not at all,Always,Always,Always,Always,Rarely,Always,Always,Always,Always,Always,Sometimes,Sometimes,Always,Frequently,Always,Always,Not at all,Not at all,Frequently,10,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.940154986887
205,2020-04-09 17:32:15,week 1,Female,68,Sørlandet,2,0,No,No,No,Yes,No,No,No,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Always,Always,Always,Always,Always,Frequently, , ,Frequently,Always,Always,Always,Always,Sometimes,Not at all,Always,Frequently,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1.00241095017
206,2020-04-09 17:42:30,week 1,Female,36,Vestlandet,4,3,No,Yes,No,No,No,No,No,1,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Sometimes,Sometimes,Always,Frequently,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Always,Always,Frequently,14,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.944899708198
207,2020-04-09 17:42:58,week 1,Male,23,Vestlandet,4,2,No,Yes,No,No,No,No,No,3,5,2,"Yes, and I tested negative","Yes, and they tested negative",No,Yes,No,Yes,No,No,No,Sometimes,No,Not sure,Not sure,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Sometimes,Sometimes,Frequently,Rarely,Not at all,Frequently,Sometimes,Always,Frequently,Sometimes,Sometimes,Always,Sometimes,Sometimes,Frequently,Not at all,Sometimes,5,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,__NA__,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,1.52724356586
208,2020-04-09 17:44:48,week 1,Male,41,Rest Østland,4,2,Yes,No,No,No,No,No,No,6,0,4,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Very easy,Very willing,Not at all,Not at all,Not at all,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.00271876423
209,2020-04-09 17:56:46,week 1,Female,66,Rest Østland,2,0,Yes,No,No,No,No,No,No,1,0,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Always,Frequently,Always,Always,Frequently,Always,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Frequently,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,1.03565157983
210,2020-04-09 17:56:47,week 1,Female,18,Trøndelag/Nord-Norge,3,0,No,No,Yes,No,No,No,No,2,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Neither easy nor difficult,Somewhat willing,Not at all,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Not at all,Not at all, , ,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Rarely,Not at all,Sometimes,Not at all,Sometimes,1, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.912357545047
211,2020-04-09 17:56:55,week 1,Female,54,Rest Østland,3,0,No,No,No,No,No,Yes,No,4,4,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Frequently,Always,Always, , ,Not at all,Always,Always,Always,Always,Sometimes,Rarely,Not at all,Always,Always,30, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,.972273040412
212,2020-04-09 17:57:40,week 1,Female,69,Trøndelag/Nord-Norge,2,0,No,No,No,Yes,No,No,No,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Sometimes,Always,Frequently,Always,Always,Sometimes,Always,Always, , ,Always,Always,Always,Always,Always,Sometimes,Rarely,Rarely,Always,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.22984751081
213,2020-04-09 18:03:07,week 1,Male,49,Trøndelag/Nord-Norge,3,1,Yes,No,No,No,No,No,No,2,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Somewhat willing,Not at all,Always,Always,Always,Always,Frequently,Always,Frequently,Rarely,Always,Always,Always,Always,Always,Always,Frequently,Frequently,Rarely,Always,Always,22,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.900607369945
214,2020-04-09 18:16:36,week 1,Female,65,Rest Østland,2,0,No,Yes,No,No,No,No,No,1,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Always,Always,Always,Always,Not at all,Not at all,Not at all,Not at all, ,Always,Frequently,Frequently,Always,Always,Rarely,Not at all,Not at all,Frequently,Frequently,15,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.03565157983
215,2020-04-09 18:20:23,week 1,Male,52,Trøndelag/Nord-Norge,2,0,Yes,No,No,No,No,No,No,1,0,1,"No, I have not",Not sure,No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Frequently,Frequently,Always,Frequently,Sometimes,Always,Always,Not at all, ,Sometimes,Always,Always,Always,Frequently,Sometimes,Not at all,Not at all,Rarely,Sometimes,3,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.907883752264
216,2020-04-09 18:21:28,week 1,Male,71,Sørlandet,2,0,No,No,No,Yes,No,No,No,1,4,3,"No, I have not","No, they have not",No,No,No,No,Yes,No,Not sure,Frequently,No,Yes,Yes,Somewhat easy,Very willing,Not at all,Always,Frequently,Always,Frequently,Sometimes,Always,Always, , ,Always,Frequently,Always,Always,Always,Rarely,Not at all,Rarely,Frequently,Frequently,20, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.976120096696
217,2020-04-09 18:21:30,week 1,Female,35,Vestlandet,5,3,Yes,No,No,No,No,No,No,5,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Not at all,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,Not at all,Always,Always,Always,50,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.944899708198
218,2020-04-09 18:23:30,week 1,Male,53,Oslo/Akershus,4,3,Yes,No,No,No,No,No,No,3,1,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Not at all,Always,Always,Always,Not at all,Frequently,Always,Frequently,Always,Always,Always,Frequently,Always,Always,Always,Sometimes,Not at all,Not at all,Sometimes,Frequently,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.940057057321
