RecordNo,endtime,region,qweek,i1_health,i2_health,i7a_health,i5a_health,i6_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i7b_health,weight,gender,age,household_size,household_children,employment_status_1,employment_status_2,employment_status_3,employment_status_4,employment_status_5,employment_status_6,employment_status_7,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4
10,09/04/2020 14:00,Red River Delta,week 1,1,1,1, , , ,Yes,Somewhat easy,Somewhat willing,Always,Frequently,Always,Always,Always,Always,Frequently,Frequently,Sometimes, ,Sometimes,Frequently,Always,Always,Frequently,Sometimes,Always,Always,Frequently,Always,11,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.993325009,Female,24,1,0,Yes,No,No,No,No,No,No, , , , , 
11,09/04/2020 14:00,Red River Delta,week 1,0,0,0, , , ,Not sure,Very easy,Very willing,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely, ,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,0, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not", , , , , , , , ,0.97261299,Male,22,6,3,No,No,No,Yes,No,No,No, , , , , 
12,09/04/2020 14:03,Southeast,week 1,10,150,3,No,Frequently,No,No,Neither easy nor difficult,Very willing,Always,Frequently,Frequently,Always,Always,Always,Sometimes,Frequently,Rarely,Frequently,Sometimes,Frequently,Frequently,Always,Always,Sometimes,Not at all,Sometimes,Frequently,Always,7,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",Yes,No,Yes,No,No,No,No,1.004869776,Female,28,6,2,Yes,No,No,No,No,No,No, , , , , 
13,09/04/2020 14:04,Red River Delta,week 1,6,15,1, , , ,Yes,Very easy,Very willing,Always,Always,Frequently,Always,Frequently,Sometimes,Always,Always,Frequently,Always,Sometimes,Frequently,Frequently,Frequently,Frequently,Always,Always,Always,Always,Frequently,6,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.988315988,Male,39,4,2,Yes,No,No,No,No,No,No, , , , , 
14,09/04/2020 14:07,Southeast,week 1,3,10,3, , , ,No,Neither easy nor difficult,Somewhat willing,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Rarely,Frequently,Frequently,Sometimes,Frequently,Frequently,Always,Frequently,Not at all,Rarely,Sometimes,Sometimes,5,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.983322386,Male,49,4,2,Yes,No,No,No,No,No,No, , , , , 
15,09/04/2020 14:08,Mekong River Delta,week 1,2,2,1,Yes,Frequently,Yes,No,Somewhat easy,Somewhat willing,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,8,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I tested negative","Yes, and they tested negative",Yes,No,No,No,No,No,Yes,1.009362406,Female,43,4,1,Yes,No,No,No,No,No,No, , , , , 
16,09/04/2020 14:08,Southeast,week 1,5,50,2, , , ,Yes,Neither easy nor difficult,Very willing,Always,Frequently,Always,Frequently,Always,Sometimes,Sometimes,Always, ,Always,Frequently,Frequently,Always,Always,Frequently,Frequently,Frequently,Frequently,Sometimes,Always,10, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.172911848,Male,57,5,1,No,No,No,Yes,No,No,No, , , , , 
17,09/04/2020 14:14,Northern Midlands and Mountains,week 1,5,8,2,No,Always,No,No,Somewhat easy,Very willing,Frequently,Always,Always,Always,Always,Frequently,Frequently,Frequently, ,Always,Sometimes,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Not at all,Frequently,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,0.983917035,Male,34,7,3,No,No,No,No,No,No,Yes, , , , , 
18,09/04/2020 14:10,Red River Delta,week 1,3,3,2, , , ,Yes,Somewhat difficult,Very willing,Always,Always,Always,Frequently,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,3,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.983917035,Male,31,4,0,Yes,No,Yes,No,No,No,No, , , , , 
19,09/04/2020 14:14,North and South Central Coast,week 1,2,0,0, , , ,Yes,Very easy,Very willing,Always,Always,Frequently,Frequently,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Frequently,Always,Always,Not at all,Always,Always,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.983917035,Male,32,3,0,Yes,No,No,No,No,No,No, , , , , 
20,09/04/2020 14:16,Red River Delta,week 1,0,4,0, , , ,No,Somewhat difficult,Somewhat willing,Always,Sometimes,Sometimes,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Frequently,Sometimes,Always,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.97261299,Male,23,5,0,No,Yes,No,No,No,No,No, , , , , 
21,09/04/2020 14:16,Red River Delta,week 1,2,2,2,Not sure,Frequently,No,No,Very easy,Somewhat willing,Sometimes,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Sometimes,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,2,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Vui,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"Yes, and I have not received my results from the test yet", ,No,No,No,No,Yes,No,No,1.004869776,Female,30,2,2,Yes,No,No,No,No,No,No, , , , , 
22,09/04/2020 14:18,Red River Delta,week 1,5,11,0, , , ,No,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Sometimes,Always,Always,Always,Always,Frequently,Frequently,Sometimes,Always,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.993325009,Female,21,7,0,No,No,Yes,No,No,No,No, , , , , 
23,09/04/2020 14:18,Southeast,week 1,4,10,0, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Sometimes,Sometimes,Rarely, , ,Frequently,Always,Always,Frequently,Always,Always,Sometimes,Sometimes,Always,Sometimes,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.97261299,Male,20,5,0,No,No,Yes,No,No,No,No, , , , , 
24,09/04/2020 14:18,North and South Central Coast,week 1,4,4,10, , , ,Yes,Somewhat easy,Very willing,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Frequently,Frequently,7,No,No,No,No,No,No,No,No,No,No,Yes,No,No,nhan vien van phong,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.97261299,Male,24,5,1,Yes,No,No,No,No,No,No, , , , , 
25,09/04/2020 14:18,Southeast,week 1,3,10,0, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Frequently,Always,Always,Always,Always,Always,Always, ,Frequently,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,3,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.009362406,Female,36,4,0,No,Yes,No,No,No,No,No, , , , , 
26,09/04/2020 14:20,Red River Delta,week 1,2,0,0, , , ,Not sure,Somewhat easy,Very willing,Always,Always,Frequently,Always,Always,Frequently,Frequently,Always,Always, ,Frequently,Always,Always,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.004869776,Female,28,2,0,Yes,No,No,No,No,No,No, , , , , 
