caseid,endtime,qweek,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i5a_health,i6_health,i7b_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,House_rooms,sw_1_1,sw_1_2,sw_1_3,sw_1_4,sw_1_5,sw_1_6,sw_1_7,sw_1_8,sw_1_9,sw_1_10,sw_1_11,sw_1_12,sw_1_13,sw_1_14,sw_1_15,sw_1_98,sw_1_other,sw_2,i1_health,i2_health,i7a_health,weight,gender,age,region,household_size,household_children,employment_status_1,employment_status_2,employment_status_3,employment_status_4,employment_status_5,employment_status_6,employment_status_7,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4
1844,08/04/2020 19:48,week 2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Frequently,Always,Always,Always,Frequently,Always,Not at all, ,Always,Not at all,Always,Always,Always,Not at all,Not at all,Not at all,Always,Always,15,No,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Two,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,__NA__,Yes,1,50,2,0.894549481,Female,34,Norra mellersta Sverige,2,1,Yes,No,No,No,No,No,No, , , , , 
1845,08/04/2020 19:50,week 2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Frequently,Frequently,Not at all,Rarely,Sometimes,Not at all,Always,Always,Not at all,Always,Rarely,Sometimes,Always,Frequently,Sometimes,Not at all,Not at all,Rarely,Frequently,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Four,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,__NA__,Yes,2,3,1,0.982649489,Female,37,"Skåne, Halland och Blekinge",3,3,Yes,No,No,No,No,No,No, , , , , 
1846,08/04/2020 19:56,week 2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Very willing,Not at all,Always,Sometimes,Always,Always,Rarely,Always,Always,Frequently, ,Sometimes,Frequently,Frequently,Frequently,Sometimes,Not at all,Not at all,Not at all,Sometimes,Sometimes,7,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Two,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,__NA__,Yes,0,2,3,0.947936151,Female,49,Norra mellersta Sverige,1,1,Yes,No,No,No,No,No,No, , , , , 
1847,08/04/2020 19:57,week 2,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,Frequently,No,No,Not sure,Somewhat easy,Very willing,Not at all,Frequently,Frequently,Always,Always,Frequently,Always,Always,Rarely, ,Always,Sometimes,Sometimes,Frequently,Always,Frequently,Always,Always,Not at all,Frequently,6,No,No,No,No,No,No,No,No,No,No,Yes,No,No,jag är påskledig i ytterligare 7dgr,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Five,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,__NA__,Yes,0,20,0,1.099748864,Male,59,Södra mellersta Sverige,1,1,Yes,No,No,No,No,No,No, , , , , 
1848,08/04/2020 19:58,week 2,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,Not at all,No,No,No,Very easy,Very willing,Not at all,Frequently,Always,Always,Always,Not at all,Always,Always,Not at all, ,Frequently,Frequently,Frequently,Always,Frequently,Sometimes,Not at all,Not at all,Rarely,Frequently,8,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Five,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,__NA__,Yes,0,1,1,1.099748864,Male,52,Södra mellersta Sverige,1,1,Yes,No,No,No,No,No,No, , , , , 
1849,08/04/2020 19:58,week 2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Frequently,Sometimes,Always,Always,Frequently,Always,Always,Always,Rarely,Always,Frequently,Always,Always,Always,Frequently,Not at all,Rarely,Sometimes,Frequently,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Six,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,__NA__,Yes,3,20,0,1.564194861,Male,39,Norra mellersta Sverige,4,3,Yes,No,No,No,No,No,No, , , , , 
1850,08/04/2020 20:01,week 2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Not at all,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Not at all,Always,Always,Frequently,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Four,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,Yes,1,0,0,0.89343102,Female,71,Stockholm,2,1,No,No,No,Yes,No,No,No, , , , , 
1851,08/04/2020 20:03,week 2,"No, I have not","No, they have not",No,Yes,Yes,Yes,Yes,No,Yes,Always,No,No,Yes,Somewhat easy,Somewhat willing,Not at all,Always,Frequently,Rarely,Frequently,Frequently,Always,Always, , ,Always,Frequently,Sometimes,Sometimes,Always,Sometimes,Sometimes,Rarely,Sometimes,Always,7, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Three,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,__NA__,Yes,5,19,1,0.947007905,Female,75,Södra mellersta Sverige,2,1,No,No,No,Yes,No,No,No, , , , , 
1852,08/04/2020 20:06,week 2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Somewhat willing,Not at all,Always,Frequently,Always,Always,Frequently,Always,Always, , ,Always,Frequently,Frequently,Always,Frequently,Frequently,Not at all,Not at all,Frequently,Frequently,6, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Six,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,Yes,1,10,1,1.090217312,Female,67,"Skåne, Halland och Blekinge",2,1,No,No,No,Yes,No,No,No, , , , , 
1853,08/04/2020 20:06,week 2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Neither easy nor difficult,Somewhat willing,Not at all,Always,Sometimes,Frequently,Not at all,Not at all,Frequently,Not at all,Not at all, ,Not at all,Not at all,Rarely,Rarely,Not at all,Rarely,Not at all,Not at all,Not at all,Not at all,10,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Five,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,__NA__,Yes,2,5,25,0.962095572,Male,48,Norra Sverige,2,1,Yes,No,No,No,No,No,No, , , , , 
