RecordNo,endtime,qweek,i1_health,i2_health,i7a_health,i5a_health,i6_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i7b_health,weight,gender,age,region,household_size,household_children,employment_status_1,employment_status_2,employment_status_3,employment_status_4,employment_status_5,employment_status_6,employment_status_7,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4,m1_1,m1_2,m1_3,m1_4,m2,m3,m4_1,m4_2,m4_3,m4_4,m4_96,m4_99,m4_other,m5_1,m5_2,m6_1,m6_2,m6_3,m6_4,m6_5,m6_6,m6_7,m6_8,m6_96,m6_other,m7_1,m7_2,m7_3,m7_4,m7_5,m7_6,m7_8,m7_9,m7_10,m7_11,m8_1,m8_2,m8_3,m8_4,m8_5,m8_6,m8_7,m8_8,m8_96,m8_99,m8_other,m9_1,m9_2,m9_3,m9_4,m9_5,m9_6,m9_7,m10,m11,m12_1,m12_2,m12_3,m12_4,m12_5,m12_6,m12_7,m12_8,m12_96,m12_99,m12_other,m13_1,m13_2,m13_3,m13_4,m13_5,m13_6,m13_8,m13_9,m13_10,m13_11,v1,v2_1,v2_2,v2_3,v2_4,v2_5,v2_99,v3,v3_open,v4_1,v4_2,v4_3,v4_4,v4_5,v4_96,v4_99,v3_other
0,08/04/2020 13:38,week 1,2,0,1, , , ,Yes,Somewhat easy,Somewhat willing,Frequently,Sometimes,Frequently,Sometimes,Always,Frequently,Frequently,Rarely, , ,Not at all,Sometimes,Rarely,Not at all,Frequently,Sometimes,Always,Rarely,Sometimes,Frequently,1, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.980651949,Female,30,New Taipei City,4,0,No,No,No,No,No,Yes,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,08/04/2020 13:54,week 1,0,0,1, , , ,Yes,Neither easy nor difficult,Very willing,Frequently,Sometimes,Sometimes,Always,Always,Frequently,Frequently,Always, , ,Always,Always,Always,Always,Always,Always,Always,Rarely,Sometimes,Always,1, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.990917421,Male,24,Taichung City,4,0,No,No,No,No,No,Yes,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,08/04/2020 13:54,week 1,5,5,1, , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Always,Always,Always,Always,Always,Frequently,Always,Always,Rarely,Not at all,Sometimes,Always,Always,Always,Always,Frequently,Rarely,Sometimes,Always,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.003604174,Male,47,Kaohsiung City,6,2,Yes,No,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,08/04/2020 14:00,week 1,3,3,2, , , ,No,Very easy,Very willing,Always,Frequently,Always,Always,Always,Frequently,Always,Frequently,Not at all, ,Always,Always,Frequently,Always,Frequently,Rarely,Frequently,Always,Always,Always,20,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.003604174,Male,47,New Taipei City,5,0,Yes,No,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,08/04/2020 14:12,week 1,4,20,2, , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Always,Always,Always,Always,Rarely,Rarely,Always,Rarely,Rarely, ,Always,Rarely,Rarely,Rarely,Frequently,Frequently,Rarely,Sometimes,Frequently,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.980651949,Female,31,Taichung City,4,0,Yes,No,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,08/04/2020 14:14,week 1,2,1,2, , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Sometimes,Frequently,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes, ,Sometimes,Always,Always,Always,Always,Frequently,Sometimes,Sometimes,Frequently,Sometimes,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.207722135,Female,57,Changhua County,3,0,Yes,No,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,08/04/2020 14:16,week 1,2,0,1, , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Frequently,Frequently,Frequently,Frequently, ,Sometimes,Always,Sometimes,Frequently,Always,Always,Frequently,Always,Rarely,Frequently,Frequently,15, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.94546109,Female,44,New Taipei City,3,1,No,No,No,No,No,Yes,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,08/04/2020 14:24,week 1,3,6,2, , , ,No,Somewhat easy,Somewhat willing,Always,Sometimes,Frequently,Always,Frequently,Frequently,Always,Frequently,Frequently, ,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,5,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"No, I have not",Not sure,No,No,No,No,No,Yes, ,0.990917421,Male,20,Tainan City,4,0,No,No,Yes,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,08/04/2020 14:50,week 1,0,0,5, , , ,No,Somewhat easy,Somewhat willing,Sometimes,Sometimes,Frequently,Frequently,Frequently,Sometimes,Sometimes,Rarely,Rarely, ,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Always,Frequently,Sometimes,Rarely,8,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.973846623,Male,41,New Taipei City,3,0,Yes,No,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,08/04/2020 14:51,week 1,0,0,0, , , ,No,Very easy,Very willing,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently, ,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Always,Frequently,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.973846623,Male,36,New Taipei City,4,0,Yes,No,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10,08/04/2020 14:52,week 1,8,30,1, , , ,Yes,Very easy,Very willing,Always,Always,Sometimes,Frequently,Always,Always,Always,Sometimes,Not at all,Not at all,Always,Rarely,Frequently,Always,Always,Sometimes,Not at all,Not at all,Frequently,Sometimes,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.94546109,Female,40,New Taipei City,3,1,Yes,No,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11,08/04/2020 14:58,week 1,5,500,3,No,Frequently,No,Yes,Somewhat easy,Somewhat willing,Sometimes,Frequently,Always,Always,Rarely,Always,Always,Always,Always,Not at all,Always,Sometimes,Frequently,Always,Always,Frequently,Always,Rarely,Always,Always,14,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,0.94546109,Female,39,Kaohsiung City,6,2,Yes,No,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12,08/04/2020 15:00,week 1,7,30,3, , , ,No,Very difficult,Very unwilling,Always,Rarely,Sometimes,Frequently,Not at all,Always,Not at all,Not at all,Rarely, ,Always,Not at all,Not at all,Not at all,Not at all,Always,Always,Not at all,Rarely,Not at all,2,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.980651949,Female,28,Nantou County,6,Prefer not to say,Yes,No,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13,08/04/2020 15:01,week 1,1,10,3, , , ,Yes,Somewhat difficult,Very willing,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Frequently,Frequently,Always, , ,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Rarely,Sometimes,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.24398152,Male,58,Hsinchu County,2,0,No,No,No,Yes,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14,08/04/2020 15:10,week 1,3,6,2, , , ,No,Somewhat difficult,Somewhat willing,Always,Sometimes,Frequently,Always,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Frequently,Always,Always,Frequently,Sometimes,Rarely,Frequently,Frequently,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.24398152,Male,59,Tainan City,3,1,Yes,No,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15,08/04/2020 15:26,week 1,2,100,1, , , ,No,Neither easy nor difficult,Very willing,Always,Frequently,Always,Always,Always,Frequently,Frequently,Frequently,Rarely, ,Always,Frequently,Always,Always,Frequently,Always,Rarely,Always,Frequently,Frequently,3,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.962034311,Female,19,Kaohsiung City,3,0,No,No,Yes,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16,08/04/2020 15:32,week 1,4,20,2, , , ,No,Somewhat easy,Somewhat willing,Sometimes,Always,Frequently,Frequently,Always,Frequently,Always,Frequently,Sometimes, ,Frequently,Rarely,Rarely,Frequently,Always,Sometimes,Always,Always,Sometimes,Frequently,15,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.962034311,Female,21,Hsinchu County,4,0,Yes,Yes,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17,08/04/2020 15:34,week 1,2,2,2, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Sometimes,Always,Sometimes,Sometimes,Always,Always,Always,Always,Always,Always,Sometimes,Always,Sometimes,Always,Always,6,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.980651949,Female,26,New Taipei City,4,2,No,Yes,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18,08/04/2020 15:35,week 1,1,6,2, , , ,Yes,Somewhat easy,Very willing,Frequently,Frequently,Frequently,Always,Always,Sometimes,Frequently,Frequently,Frequently, ,Not at all,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Always,Not at all,Sometimes,Frequently,10,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.003604174,Male,52,Taipei City,2,0,Yes,No,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19,08/04/2020 15:36,week 1,1,0,1, , , ,No,Somewhat easy,Somewhat willing,Frequently,Frequently,Always,Always,Frequently,Sometimes,Always,Always,Frequently, ,Frequently,Frequently,Frequently,Frequently,Always,Sometimes,Frequently,Frequently,Frequently,Frequently,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.010094015,Male,31,New Taipei City,2,0,Yes,No,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20,08/04/2020 15:43,week 1,1,10,2, , , ,No,Very easy,Very willing,Always,Always,Not at all,Always,Always,Frequently,Always,Sometimes,Frequently,Not at all,Always,Rarely,Always,Always,Frequently,Sometimes,Not at all,Sometimes,Sometimes,Sometimes,5,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.94546109,Female,41,Hsinchu County,2,1,Yes,No,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21,08/04/2020 16:11,week 1,3,10,1, , , ,No,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Frequently,Frequently,Not at all,Rarely,Not at all,Always,Always,Always,Always,Always,Always,Always,Rarely,Sometimes,Rarely,3,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.962034311,Female,22,Taipei City,8 or more,2,Yes,Yes,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
22,08/04/2020 18:06,week 1,2,6,2,No,Always,No,No,Very easy,Very willing,Frequently,Always,Always,Always,Sometimes,Rarely,Rarely,Rarely,Not at all, ,Always,Sometimes,Sometimes,Rarely,Frequently,Rarely,Always,Sometimes,Always,Sometimes,10,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,0.980651949,Female,34,Tainan City,2,0,Yes,No,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23,08/04/2020 18:09,week 1,9,1,1, , , ,No,Neither easy nor difficult,Very willing,Always,Sometimes,Frequently,Frequently,Frequently,Frequently,Not at all,Always,Frequently,Not at all,Rarely,Frequently,Frequently,Frequently,Frequently,Sometimes,Always,Sometimes,Rarely,Frequently,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.980651949,Female,30,New Taipei City,6,1,No,Yes,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
24,08/04/2020 18:16,week 1,2,100,10, , , ,Yes,Very difficult,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Not at all, ,Always,Not at all,Not at all,Not at all,Always,Not at all,Not at all,Always,Always,Always,20,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.010094015,Male,33,Kaohsiung City,2,0,Yes,No,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25,08/04/2020 18:17,week 1,2,1,1, , , ,No,Very easy,Very willing,Frequently,Frequently,Always,Always,Frequently,Sometimes,Always,Sometimes,Sometimes,Not at all,Always,Frequently,Frequently,Frequently,Frequently,Sometimes,Not at all,Sometimes,Frequently,Always,5,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.010094015,Male,27,Pingtung County,5,1,Yes,No,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
26,08/04/2020 18:21,week 1,3,2,2, , , ,Yes,Very easy,Very willing,Always,Sometimes,Sometimes,Always,Always,Frequently,Always,Sometimes,Sometimes,Rarely,Always,Always,Always,Always,Always,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,2,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.973846623,Male,44,New Taipei City,5,1,No,Yes,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27,08/04/2020 19:15,week 1,3,30,3, , , ,Not sure,Somewhat difficult,Neither willing nor unwilling,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Frequently,Sometimes,Rarely,Rarely, ,Sometimes,Rarely,Frequently,Frequently,Frequently,Sometimes,Rarely,Not at all,Sometimes,Frequently,3,No,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.010094015,Male,34,Miaoli County,4,0,Yes,No,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28,08/04/2020 19:28,week 1,3,1,2, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Sometimes,Always,Always,Not at all,Always, ,Always,Always,Always,Always,Always,Sometimes,Not at all,Always,Frequently,Frequently,3,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.980651949,Female,33,Taichung City,4,0,Yes,No,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
29,08/04/2020 19:59,week 1,4,17,3,No,Always,No,Yes,Very difficult,Somewhat willing,Always,Always,Frequently,Always,Always,Sometimes,Frequently,Frequently,Frequently,Rarely,Always,Sometimes,Sometimes,Frequently,Always,Sometimes,Sometimes,Rarely,Sometimes,Always,4,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,0.990917421,Male,21,Taichung City,5,1,No,No,Yes,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30,08/04/2020 20:01,week 1,2,2,30, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Rarely,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.980651949,Female,25,New Taipei City,1,2,No,Yes,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,08/04/2020 20:20,week 1,5,10,1, , , ,No,Not sure,Not sure,Rarely,Frequently,Frequently,Frequently,Rarely,Frequently,Rarely,Frequently,Rarely, ,Rarely,Rarely,Rarely,Rarely,Frequently,Rarely,Rarely,Rarely,Rarely,Sometimes,10,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.980651949,Female,27,Taichung City,5,0,Yes,No,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32,08/04/2020 20:32,week 1,4,10,50, , , ,No,Somewhat easy,Very willing,Always,Frequently,Rarely,Always,Always,Rarely,Always,Always,Rarely, ,Frequently,Frequently,Rarely,Always,Always,Frequently,Sometimes,Always,Always,Frequently,5,No,No,No,No,No,No,Yes,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.010094015,Male,26,New Taipei City,4,0,Yes,No,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
33,08/04/2020 20:51,week 1,2,2,0, , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Frequently,Always,Sometimes,Rarely,Rarely,Frequently, ,Sometimes,Frequently,Frequently,Rarely,Sometimes,Always,Rarely,Frequently,Frequently,Frequently,Sometimes,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.003604174,Male,53,New Taipei City,3,1,No,No,No,No,No,Yes,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
34,08/04/2020 20:54,week 1,3,7,1, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Sometimes,Always,Frequently,Frequently, ,Always,Sometimes,Frequently,Always,Always,Frequently,Always,Sometimes,Frequently,Frequently,5,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.973846623,Male,35,New Taipei City,4,0,Yes,No,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
