RecordNo,endtime,qweek,gender,region,region_recode,i1_health,i2_health,i7a_health,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i5_health_98,i5a_health,i6_health,i7b_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,profile_household_size,weight,age,household_size,household_children,employment_status
185,2020-04-03 15:07:38,week 1,Male,Gyeonggi Province,Gyeonggi,0,5,3,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Very difficult,Very willing,Always,Always,Always,Frequently,Frequently,Frequently,Rarely,Frequently,Rarely, ,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Rarely,Rarely,Sometimes,Frequently,5,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,.835484834705,33,3,0,Full time employment
186,2020-04-03 15:17:01,week 1,Female,Busan metropolitan city,Gyeongsang,6,15,3,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Not at all,Always,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Not at all,Rarely,Frequently,Sometimes,9,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,7,.955013100049,49,7,3,Full time employment
188,2020-04-03 15:18:53,week 1,Female,South Chungcheong Province,Chungcheong,1,1,4,"No, I have not",Not sure,No,No,No,No,No,Yes,No, , , , ,No,Somewhat difficult,Neither willing nor unwilling,Always,Always,Frequently,Not at all,Frequently,Sometimes,Sometimes,Sometimes, , ,Not at all,Frequently,Not at all,Sometimes,Frequently,Rarely,Not at all,Always,Always,Always,1, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,.944350663199,51,1,0,Not working
189,2020-04-03 15:20:21,week 1,Female,Gangwon Province,Gangwon,4,5,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Not at all,Rarely,Always,Always, , ,Always,Not at all,Not at all,Always,Sometimes,Not at all,Not at all,Rarely,Rarely,Rarely,17, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,4,.908676049429,21,4,0,Full time student
190,2020-04-03 15:20:36,week 1,Female,Busan metropolitan city,Gyeongsang,4,18,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Rarely,Always,Not at all,Always,Frequently,10,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,5,.929441456674,20,5,1,Part time employment
191,2020-04-03 15:24:22,week 1,Female,Busan metropolitan city,Gyeongsang,3,5,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Somewhat easy,Very willing,Always,Always,Always,Always,Not at all,Always,Frequently,Always,Not at all, ,Always,Always,Frequently,Always,Always,Frequently,Rarely,Frequently,Always,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,.935012542889,37,2,0,Full time employment
192,2020-04-03 15:25:05,week 1,Female,Daegu metropolitan city,Gyeongsang,0,2,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Neither easy nor difficult,Very willing,Always,Always,Frequently,Sometimes,Always,Frequently,Not at all,Frequently,Always, ,Sometimes,Frequently,Not at all,Always,Frequently,Rarely,Always,Always,Sometimes,Frequently,5,No,No,No,No,No,No,No,No,No,No,Yes,No,No,학원,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,.935012542889,41,1,0,Part time employment
193,2020-04-03 15:25:47,week 1,Male,Gangwon Province,Gangwon,2,2,3,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Frequently,Not at all,Sometimes,Sometimes,Sometimes,Always,Sometimes,Frequently,Always,Always,Sometimes,Not at all,Sometimes,Always,Sometimes,5,No,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,.682955761727,22,3,1,Full time employment
194,2020-04-03 15:36:51,week 1,Male,Daegu metropolitan city,Gyeongsang,2,4,4,"No, I have not",Not sure,No,No,No,No,No,Yes,No, , , , ,Not sure,Very easy,Very willing,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Sometimes,Always,Always,Always,Always,3,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.698562923962,24,4,1,Full time employment
195,2020-04-03 15:43:27,week 1,Male,Seoul special city,Gyeonggi,5,10,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat easy,Very willing,Always,Frequently,Frequently,Always,Always,Frequently,Frequently,Always,Frequently,Rarely,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,2,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6,1.28751352192,56,6,1,Full time employment
196,2020-04-03 15:50:28,week 1,Female,Gyeonggi Province,Gyeonggi,0,0,1,"No, I have not",Not sure,No,No,No,No,No,Yes,No, , , , ,No,Very easy,Very willing,Sometimes,Always,Frequently,Always,Always,Sometimes,Rarely,Frequently, , ,Sometimes,Frequently,Rarely,Frequently,Sometimes,Sometimes,Not at all,Not at all,Always,Sometimes,0, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.11161674226,32,1,0,Not working
197,2020-04-03 15:52:37,week 1,Female,Seoul special city,Gyeonggi,10,50,1,"No, I have not","No, they have not",No,No,No,No,Yes,No,No,No,Always,Yes,No,Yes,Somewhat easy,Neither willing nor unwilling,Sometimes,Always,Rarely,Frequently,Frequently,Frequently,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Frequently,Frequently,Always,Not at all,Rarely,Sometimes,Sometimes,10,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,1.11161674226,29,3,1,Full time employment
198,2020-04-03 15:58:03,week 1,Female,Ulsan metropolitan city,Gyeongsang,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Sometimes, , ,Always,Always,Always,Always,Always,Always,Always,Sometimes,Sometimes,Always,7, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,.932671227545,25,1,Prefer not to say,Other
199,2020-04-03 16:02:13,week 1,Male,North Gyeongsang Province,Gyeongsang,1,6,4,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat easy,Very willing,Always,Frequently,Frequently,Frequently,Always,Frequently,Sometimes,Always,Sometimes, ,Always,Frequently,Always,Frequently,Frequently,Always,Rarely,Always,Always,Always,6,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,2,.702750120744,35,2,0,Full time employment
200,2020-04-03 16:02:27,week 1,Female,Daejeon metropolitan city,Chungcheong,2,7,2,"No, I have not","No, they have not",No,No,No,Yes,No,No,No,Not sure,Always,No,Not sure,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Always, ,Always,Always,Always,Always,Always,Always,Frequently,Frequently,Always,Frequently,Frequently,4, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,2,1.42123458602,59,2,1,Unemployed
201,2020-04-03 16:03:30,week 1,Male,Gyeonggi Province,Gyeonggi,2,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Frequently,Always,Always,Always,Frequently,Always,Always,Frequently,Always,Frequently,Frequently,Always,Always,Rarely,Sometimes,Sometimes,Always,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,.837582179841,35,3,1,Full time employment
202,2020-04-03 16:03:42,week 1,Male,North Gyeongsang Province,Gyeongsang,3,2,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat easy,Very willing,Always,Frequently,Sometimes,Sometimes,Always,Frequently,Always,Always,Rarely, ,Frequently,Always,Always,Always,Frequently,Frequently,Always,Always,Rarely,Frequently,2,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,.702750120744,43,1,0,Full time employment
203,2020-04-03 16:15:51,week 1,Female,Seoul special city,Gyeonggi,1,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Very willing,Always,Always,Always,Always,Always,Always,Frequently,Sometimes, , ,Sometimes,Always,Always,Always,Always,Sometimes,Not at all,Sometimes,Sometimes,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,1.11440727043,38,2,0,Unemployed
204,2020-04-03 16:23:59,week 1,Female,Daegu metropolitan city,Gyeongsang,2,3,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Very willing,Always,Frequently,Sometimes,Always,Always,Frequently,Sometimes,Always, , ,Frequently,Frequently,Always,Always,Always,Sometimes,Not at all,Frequently,Frequently,Always,8, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,3,.929441456674,21,3,0,Full time student
205,2020-04-03 16:24:36,week 1,Male,South Chungcheong Province,Chungcheong,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Very easy,Very willing,Always,Always,Not at all,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently, ,Always,Always,Always,Always,Frequently,Frequently,Always,Frequently,Frequently,Frequently,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,.709768598972,49,2,0,Full time employment
206,2020-04-03 16:29:48,week 1,Female,Busan metropolitan city,Gyeongsang,2,2,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Frequently, , ,Sometimes,Frequently,Frequently,Frequently,Sometimes,Sometimes,Rarely,Sometimes,Frequently,Sometimes,1, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,.932671227545,25,3,0,Not working
207,2020-04-03 16:34:54,week 1,Male,Incheon metropolitan city,Gyeonggi,4,10,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Very willing,Sometimes,Frequently,Sometimes,Always,Always,Frequently,Always,Rarely,Always,Always,Always,Frequently,Rarely,Not at all,Frequently,Sometimes,Frequently,Not at all,Rarely,Frequently,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,5,.832591613061,18,5,3,Part time employment
208,2020-04-03 16:35:14,week 1,Male,Seoul special city,Gyeonggi,3,5,2,"No, I have not","Yes, and they have not received their results from the test yet",Yes,Yes,No,No,Yes,No,No,Yes,Frequently,Yes,No,Yes,Somewhat easy,Somewhat willing,Frequently,Frequently,Always,Always,Sometimes,Frequently,Sometimes,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,3,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,4,1.28751352192,58,4,2,Full time employment
209,2020-04-03 16:38:50,week 1,Female,South Chungcheong Province,Chungcheong,3,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Somewhat difficult,Neither willing nor unwilling,Always,Always,Always,Always,Always,Always,Sometimes,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,5,.919064519607,21,5,1,Full time student
210,2020-04-03 16:43:27,week 1,Female,Busan metropolitan city,Gyeongsang,5,0,1,"No, I have not","No, they have not",Yes,Yes,Yes,No,No,No,No,No,Not at all,Prefer not to say,Not sure,No,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Always,Always,Frequently, ,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,6,.935012542889,44,6,2,Not working
211,2020-04-03 16:44:02,week 1,Male,Seoul special city,Gyeonggi,2,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Frequently,Always,Always,Frequently,Frequently,Frequently,Rarely,Frequently,Always,Rarely,Sometimes,Always,Always,Sometimes,Not at all,Not at all,Sometimes,Always,10,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,회의,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,.855498634964,51,3,1,Full time employment
212,2020-04-03 16:46:40,week 1,Female,Sejong Special Autonomous City,Chungcheong,0,15,3,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Very willing,Frequently,Frequently,Frequently,Frequently,Always,Always,Always,Frequently,Always,Not at all,Frequently,Frequently,Always,Always,Frequently,Frequently,Always,Not at all,Always,Frequently,3,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,5,.922258231049,25,5,1,Full time employment
213,2020-04-03 16:49:49,week 1,Female,Daejeon metropolitan city,Chungcheong,1,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Frequently,Frequently,Always,Frequently,Frequently,Sometimes,Frequently,Sometimes,Rarely,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Rarely,Rarely,Frequently,Sometimes,4,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.944350663199,45,4,2,Part time employment
214,2020-04-03 16:55:42,week 1,Male,Daejeon metropolitan city,Chungcheong,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Somewhat easy,Somewhat willing,Always,Always,Sometimes,Always,Always,Frequently,Always,Frequently,Frequently, ,Always,Always,Always,Frequently,Frequently,Always,Frequently,Always,Frequently,Sometimes,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,1,1.0681918489,58,1,0,Part time employment
215,2020-04-03 16:58:36,week 1,Female,Gyeonggi Province,Gyeonggi,3,5,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Somewhat difficult,Somewhat willing,Frequently,Frequently,Sometimes,Always,Not at all,Frequently,Frequently,Not at all,Frequently, ,Rarely,Frequently,Always,Always,Frequently,Frequently,Always,Sometimes,Sometimes,Frequently,3,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,6,1.10776729642,19,6,0,Part time employment
217,2020-04-03 17:04:20,week 1,Male,Gyeonggi Province,Gyeonggi,4,4,2,"No, I have not",Not sure,No,No,No,No,No,Yes,No, , , , ,Yes,Very easy,Very unwilling,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,1.28751352192,55,4,1,Full time employment
218,2020-04-03 17:05:10,week 1,Male,Seoul special city,Gyeonggi,4,30,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Frequently,Always,Always,Sometimes,Always,Not at all,Rarely, ,Always,Not at all,Sometimes,Always,Always,Sometimes,Always,Not at all,Always,Always,5,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,발전소 정비,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.835484834705,29,4,0,Full time employment
219,2020-04-03 17:05:55,week 1,Female,Gyeonggi Province,Gyeonggi,3,10,7,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat easy,Very willing,Frequently,Frequently,Always,Frequently,Frequently,Rarely,Frequently,Always,Rarely,Always,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Sometimes,Frequently,Frequently,Frequently,12,No,No,No,No,No,No,No,No,No,No,Yes,No,No,회사,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,1.11161674226,32,3,1,Full time employment
216,2020-04-03 16:58:38,week 1,Male,Gyeonggi Province,Gyeonggi,3,30,1,"No, I have not","No, they have not",No,Yes,No,No,No,No,No,No,Always,Yes,No,Yes,Somewhat difficult,Very willing,Always,Frequently,Frequently,Always,Always,Always,Frequently,Rarely,Rarely, ,Always,Frequently,Always,Always,Always,Frequently,Frequently,Frequently,Frequently,Sometimes,3,No,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,4,.835484834705,25,4,0,Full time employment
220,2020-04-03 17:12:44,week 1,Female,Seoul special city,Gyeonggi,1,1,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Not sure,Not sure,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Sometimes, ,Sometimes,Frequently,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,2,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,1.11440727043,37,2,0,Part time employment
221,2020-04-03 17:17:21,week 1,Male,South Chungcheong Province,Chungcheong,2,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Somewhat easy,Somewhat willing,Always,Always,Frequently,Frequently,Always,Frequently,Always,Always,Frequently, ,Not at all,Always,Always,Always,Always,Frequently,Sometimes,Rarely,Frequently,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,1.0681918489,55,3,0,Part time employment
222,2020-04-03 17:17:42,week 1,Male,Daejeon metropolitan city,Chungcheong,0,3,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Very difficult,Very willing,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Not at all,Not at all, ,Always,Frequently,Always,Always,Frequently,Sometimes,Not at all,Not at all,Not at all,Frequently,3,No,No,No,No,No,No,No,No,No,No,Yes,No,No,무슨 말인지 알아듣기 어렵습니다. 하지만 직장에 나가기 위해 대중교톹을 이용할 것입니다.,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,.694904124932,43,1,0,Full time employment
223,2020-04-03 17:28:03,week 1,Male,Seoul special city,Gyeonggi,4,0,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Sometimes,Always,Always,Frequently,Frequently,Always,Sometimes,Frequently,Always,Frequently,Frequently,Always,Always,Frequently,Not at all,Sometimes,Sometimes,Rarely,5,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,5,.837582179841,38,5,1,Full time employment
224,2020-04-03 17:31:44,week 1,Female,Busan metropolitan city,Gyeongsang,2,6,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Rarely,Always,Always,Frequently,Frequently,Always, , ,Frequently,Sometimes,Sometimes,Frequently,Always,Sometimes,Not at all,Not at all,Frequently,Sometimes,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,.932671227545,33,2,0,Other
225,2020-04-03 17:32:34,week 1,Female,Daegu metropolitan city,Gyeongsang,0,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Very willing,Always,Always,Always,Always,Always,Always,Frequently,Sometimes,Frequently, ,Always,Frequently,Always,Always,Always,Frequently,Frequently,Always,Sometimes,Frequently,2,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.929441456674,22,4,0,Part time employment
226,2020-04-03 17:39:26,week 1,Female,Seoul special city,Gyeonggi,3,2,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Sometimes,Always,Always,Always,Sometimes,Sometimes,Always,Always,Frequently,Rarely,Frequently,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Frequently,15,No,No,No,No,No,No,No,No,No,No,Yes,No,No,사무업,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,1.11161674226,30,4,1,Full time employment
227,2020-04-03 17:51:22,week 1,Male,Busan metropolitan city,Gyeongsang,3,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Somewhat willing,Always,Always,Frequently,Always,Always,Frequently,Always,Always,Frequently, ,Always,Always,Always,Always,Always,Frequently,Sometimes,Sometimes,Always,Always,2,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.700990401419,31,4,0,Part time employment
228,2020-04-03 18:06:15,week 1,Female,North Chungcheong Province,Chungcheong,2,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Somewhat difficult,Neither willing nor unwilling,Always,Always,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Frequently, ,Sometimes,Always,Always,Always,Frequently,Sometimes,Not at all,Not at all,Always,Always,6,No,Yes,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.924573406304,36,4,0,Part time employment
229,2020-04-03 18:07:11,week 1,Female,Seoul special city,Gyeonggi,2,2,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Not at all,Not at all,Always,Always,Always,Not at all,Always,Always,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.10776729642,24,1,0,Full time employment
230,2020-04-03 18:08:43,week 1,Male,Incheon metropolitan city,Gyeonggi,3,20,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Very willing,Always,Always,Always,Frequently,Always,Frequently,Always,Always,Rarely, ,Always,Always,Always,Always,Always,Frequently,Rarely,Sometimes,Sometimes,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,4,1.28751352192,60,4,0,Full time employment
231,2020-04-03 18:12:00,week 1,Male,Gyeonggi Province,Gyeonggi,3,20,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Not sure,Very difficult,Somewhat willing,Frequently,Frequently,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Not at all,Rarely, ,Frequently,Rarely,Frequently,Always,Sometimes,Rarely,Sometimes,Rarely,Rarely,Not at all,5,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,회사,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.835484834705,33,4,0,Full time employment
232,2020-04-03 18:15:33,week 1,Male,North Gyeongsang Province,Gyeongsang,2,4,3,"Yes, and I tested positive","Yes, and they tested negative",No,No,Yes,No,No,No,Yes,Yes,Frequently,Yes,Yes,Yes,Neither easy nor difficult,Somewhat willing,Sometimes,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Frequently,Frequently,Sometimes,Frequently,Sometimes,Frequently,Frequently,Sometimes,Frequently,Frequently,Sometimes,Frequently,Sometimes,Frequently,3,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,4,.702750120744,39,4,2,Full time employment
233,2020-04-03 18:19:19,week 1,Male,North Gyeongsang Province,Gyeongsang,5,5,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,5,No,Yes,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,.717782425996,45,1,1,Full time employment
234,2020-04-03 18:22:12,week 1,Female,Busan metropolitan city,Gyeongsang,0,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Sometimes,Not at all,Always,Not at all,Not at all, ,Frequently,Frequently,Always,Always,Frequently,Frequently,Always,Sometimes,Rarely,Frequently,5,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.955013100049,53,4,0,Full time employment
235,2020-04-03 18:35:25,week 1,Female,Seoul special city,Gyeonggi,4,12,2,"Yes, and I have not received my results from the test yet","Yes, and they have not received their results from the test yet",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Somewhat willing,Always,Always,Always,Always,Sometimes,Frequently,Always,Frequently,Frequently,Frequently,Always,Sometimes,Frequently,Always,Always,Sometimes,Rarely,Frequently,Frequently,Frequently,3,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,5,1.11440727043,42,5,3,Full time employment
