RecordNo,endtime,qweek,gender,region,region_recode,i1_health,i2_health,i7a_health,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i5_health_98,i5a_health,i6_health,i7b_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,profile_household_size,weight,age,household_size,household_children,employment_status
27,2020-04-02 17:38:23,week 1,Female,Daegu metropolitan city,Gyeongsang,4,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,3,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,5,.932671227545,29,5,1,Full time employment
28,2020-04-02 17:54:56,week 1,Male,Busan metropolitan city,Gyeongsang,0,10,1,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,No,Sometimes,No,No,Yes,Very difficult,Somewhat willing,Always,Always,Always,Frequently,Frequently,Frequently,Rarely,Sometimes,Not at all, ,Frequently,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Not at all,Frequently,Sometimes,Frequently,3,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1,.702750120744,38,1,0,Full time employment
29,2020-04-02 18:16:37,week 1,Female,South Chungcheong Province,Chungcheong,3,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Very willing,Always,Always,Always,Always,Always,Frequently,Frequently,Frequently, , ,Always,Always,Not at all,Always,Frequently,Frequently,Always,Rarely,Sometimes,Frequently,14, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.919064519607,20,4,0,Not working
30,2020-04-02 18:39:15,week 1,Male,Gangwon Province,Gangwon,3,10,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Always,Sometimes,Rarely,Always,Always,Always,Always,Always,Frequently,Frequently,Sometimes,Sometimes,Frequently,3,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.70174586524,52,4,1,Full time employment
31,2020-04-02 18:46:28,week 1,Female,Seoul special city,Gyeonggi,2,2,2,"No, I have not",Not sure,No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,5,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,1.11161674226,32,3,0,Full time employment
32,2020-04-02 19:35:59,week 1,Male,Daegu metropolitan city,Gyeongsang,2,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,3,.700990401419,32,3,0,Unemployed
33,2020-04-02 19:51:02,week 1,Female,Daegu metropolitan city,Gyeongsang,3,50,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Very willing,Rarely,Always,Always,Always,Always,Always,Frequently,Always,Frequently,Always,Always,Always,Always,Always,Frequently,Always,Rarely,Rarely,Frequently,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.955013100049,48,4,4,Full time employment
34,2020-04-02 21:35:09,week 1,Male,South Gyeongsang Province,Gyeongsang,2,100,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Rarely,Frequently,Always,Frequently,15,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.717782425996,47,4,2,Full time employment
35,2020-04-02 21:45:18,week 1,Male,North Chungcheong Province,Chungcheong,3,10,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Very difficult,Very unwilling,Always,Frequently,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,Not at all, ,Always,Always,Always,Always,Not at all,Not at all,Not at all,Not at all,Frequently,Always,10,No,No,No,No,No,No,No,No,No,No,Yes,No,No,아파트경비실,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,3,1.0681918489,61,3,0,Full time employment
36,2020-04-02 21:50:00,week 1,Female,Gangwon Province,Gangwon,2,15,1,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,No,Sometimes,No,No,Yes,Somewhat difficult,Very willing,Always,Always,Always,Always,Always,Frequently,Sometimes,Always,Rarely,Always,Frequently,Frequently,Always,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,5,1.40516993245,67,5,1,Full time employment
37,2020-04-02 21:50:30,week 1,Male,North Jeolla Province,Jeolla,1,1,6,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Very willing,Frequently,Frequently,Always,Always,Always,Rarely,Rarely,Sometimes, , ,Always,Always,Not at all,Not at all,Frequently,Sometimes,Always,Sometimes,Always,Frequently,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,1.07507235677,72,2,0,Retired
38,2020-04-02 22:06:49,week 1,Male,Gwangju metropolitan city,Jeolla,2,20,5,"Yes, and I tested negative","Yes, and they tested negative",Yes,Yes,No,No,No,No,No,No,Frequently,Yes,Yes,Yes,Somewhat difficult,Somewhat willing,Always,Always,Always,Always,Frequently,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Rarely,Sometimes,Frequently,Rarely,Frequently,Rarely,Not at all,Not at all,Rarely,Frequently,20,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,.697628906414,31,3,1,Full time employment
39,2020-04-02 22:08:26,week 1,Male,Seoul special city,Gyeonggi,3,10,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Very willing,Always,Always,Always,Always,Frequently,Frequently,Always,Always,Sometimes,Always,Always,Always,Always,Always,Always,Sometimes,Sometimes,Rarely,Frequently,Always,20,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.837582179841,38,4,2,Full time employment
40,2020-04-02 22:08:29,week 1,Female,Gyeonggi Province,Gyeonggi,2,5,5,"No, I have not","No, they have not",Yes,Yes,No,No,No,No,No,No,Frequently,No,No,Yes,Very easy,Very willing,Always,Always,Always,Frequently,Always,Sometimes,Always,Always, , ,Always,Always,Always,Always,Always,Sometimes,Always,Always,Always,Sometimes,8, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,1.10776729642,20,3,0,Full time student
41,2020-04-02 22:08:54,week 1,Male,Gyeonggi Province,Gyeonggi,1,5,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Frequently,Always,Frequently,Frequently,Frequently,Rarely, ,Always,Rarely,Sometimes,Sometimes,Frequently,Sometimes,Always,Sometimes,Always,Sometimes,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,2,.837582179841,37,2,0,Full time employment
42,2020-04-02 22:09:23,week 1,Male,Daegu metropolitan city,Gyeongsang,2,10,1,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,Not sure,Always,No,Not sure,No,Somewhat easy,Somewhat willing,Frequently,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Frequently,Always,Frequently,Always,Always,Always,Sometimes,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,4,.702750120744,39,4,2,Full time employment
43,2020-04-02 22:10:20,week 1,Female,Gyeonggi Province,Gyeonggi,2,2,1,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,Yes,Always,No,No,No,Somewhat difficult,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Sometimes,Always,Always,Always,Always,5,No,Yes,No,No,No,No,No,No,No,No,No,No,No,__NA__,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,3,1.71304316655,59,3,0,Full time employment
